order_id,customer_id,sku_id,order_date,due_date,demand_qty,priority,penalty_cost_late,scenario
SO00001,CUST0028,SKU0017,2025-06-25,2025-07-18,150,Std,26.66,after
SO00002,CUST0008,SKU0013,2025-02-28,2025-03-23,169,Std,13.23,after
SO00003,CUST0040,SKU0013,2025-02-05,2025-02-26,217,Std,17.2,after
SO00004,CUST0018,SKU0004,2025-02-08,2025-02-21,321,Expedite,16.7,after
SO00005,CUST0028,SKU0005,2025-01-29,2025-02-09,79,Std,10.77,after
SO00006,CUST0006,SKU0021,2025-01-27,2025-02-12,45,Std,7.23,after
SO00007,CUST0032,SKU0023,2025-03-03,2025-03-19,164,Std,14.89,after
SO00008,CUST0001,SKU0022,2025-06-07,2025-06-22,143,Std,10.76,after
SO00009,CUST0026,SKU0017,2025-06-17,2025-06-30,140,Std,26.02,after
SO00010,CUST0002,SKU0002,2025-03-06,2025-03-18,156,Expedite,10.95,after
SO00011,CUST0032,SKU0007,2025-01-22,2025-02-09,79,Std,14.47,after
SO00012,CUST0002,SKU0010,2025-05-20,2025-06-01,193,Expedite,8.38,after
SO00013,CUST0012,SKU0025,2025-03-16,2025-04-02,191,Std,15.3,after
SO00014,CUST0013,SKU0008,2025-01-12,2025-01-30,52,Expedite,9.46,after
SO00015,CUST0029,SKU0017,2025-01-30,2025-02-17,101,Std,22.88,after
SO00016,CUST0031,SKU0013,2025-06-24,2025-07-03,65,Expedite,15.45,after
SO00017,CUST0040,SKU0024,2025-02-02,2025-02-12,76,Std,22.05,after
SO00018,CUST0008,SKU0021,2025-02-14,2025-03-10,94,Std,15.42,after
SO00019,CUST0040,SKU0005,2025-05-26,2025-06-18,43,Expedite,15.19,after
SO00020,CUST0021,SKU0002,2025-05-20,2025-06-20,121,Std,12.54,after
SO00021,CUST0018,SKU0016,2025-05-29,2025-06-15,70,Expedite,9.35,after
SO00022,CUST0017,SKU0009,2025-01-06,2025-01-16,97,Std,12.44,after
SO00023,CUST0019,SKU0018,2025-02-17,2025-03-06,174,Std,9.32,after
SO00024,CUST0002,SKU0005,2025-06-03,2025-06-30,55,Std,6.3,after
SO00025,CUST0013,SKU0028,2025-05-05,2025-05-25,48,Std,7.81,after
SO00026,CUST0039,SKU0016,2025-05-25,2025-06-15,144,Std,11.26,after
SO00027,CUST0011,SKU0002,2025-02-23,2025-03-13,52,Std,12.92,after
SO00028,CUST0024,SKU0011,2025-05-20,2025-06-09,139,Std,24.87,after
SO00029,CUST0018,SKU0025,2025-06-18,2025-07-06,70,Std,9.99,after
SO00030,CUST0017,SKU0022,2025-04-20,2025-05-20,101,Std,8.1,after
SO00031,CUST0032,SKU0015,2025-06-25,2025-07-18,92,Std,8.58,after
SO00032,CUST0029,SKU0030,2025-03-27,2025-04-10,118,Std,23.24,after
SO00033,CUST0014,SKU0025,2025-02-21,2025-03-07,157,Std,13.9,after
SO00034,CUST0019,SKU0004,2025-03-13,2025-03-26,209,Std,11.22,after
SO00035,CUST0002,SKU0023,2025-06-07,2025-06-14,104,Expedite,12.26,after
SO00036,CUST0002,SKU0011,2025-05-26,2025-06-28,127,Std,7.6,after
SO00037,CUST0007,SKU0019,2025-04-11,2025-04-27,81,Expedite,8.4,after
SO00038,CUST0005,SKU0028,2025-06-15,2025-07-05,153,Std,17.53,after
SO00039,CUST0019,SKU0005,2025-03-14,2025-04-04,142,Launch,12.02,after
SO00040,CUST0030,SKU0007,2025-03-19,2025-04-06,35,Std,21.77,after
SO00041,CUST0026,SKU0020,2025-01-24,2025-02-11,76,Std,12.8,after
SO00042,CUST0018,SKU0029,2025-06-01,2025-06-13,55,Launch,9.66,after
SO00043,CUST0036,SKU0016,2025-04-03,2025-04-19,104,Expedite,16.17,after
SO00044,CUST0004,SKU0016,2025-06-16,2025-07-01,48,Std,15.35,after
SO00045,CUST0004,SKU0014,2025-01-28,2025-02-07,61,Std,9.52,after
SO00046,CUST0032,SKU0015,2025-05-26,2025-06-02,284,Std,17.98,after
SO00047,CUST0015,SKU0020,2025-05-28,2025-06-13,29,Std,14.7,after
SO00048,CUST0023,SKU0029,2025-04-21,2025-05-06,105,Std,17.53,after
SO00049,CUST0009,SKU0023,2025-02-17,2025-03-08,44,Std,35.56,after
SO00050,CUST0034,SKU0012,2025-03-17,2025-04-04,62,Expedite,18.89,after
SO00051,CUST0029,SKU0008,2025-06-06,2025-07-02,41,Std,9.42,after
SO00052,CUST0018,SKU0029,2025-05-16,2025-06-05,243,Std,21.58,after
SO00053,CUST0030,SKU0001,2025-06-20,2025-07-02,68,Std,7.61,after
SO00054,CUST0011,SKU0030,2025-04-27,2025-05-11,141,Std,15.81,after
SO00055,CUST0005,SKU0029,2025-02-03,2025-02-25,83,Std,8.36,after
SO00056,CUST0010,SKU0017,2025-04-13,2025-04-25,97,Std,18.67,after
SO00057,CUST0012,SKU0022,2025-02-11,2025-02-26,52,Std,15.71,after
SO00058,CUST0033,SKU0029,2025-01-19,2025-02-12,82,Std,9.69,after
SO00059,CUST0012,SKU0026,2025-05-15,2025-05-27,133,Std,9.15,after
SO00060,CUST0035,SKU0028,2025-02-01,2025-02-20,118,Expedite,16.32,after
SO00061,CUST0035,SKU0025,2025-05-25,2025-06-16,137,Std,7.4,after
SO00062,CUST0034,SKU0022,2025-05-17,2025-06-07,53,Std,10.5,after
SO00063,CUST0029,SKU0001,2025-01-06,2025-01-16,97,Expedite,17.97,after
SO00064,CUST0040,SKU0003,2025-04-02,2025-05-02,45,Std,11.77,after
SO00065,CUST0014,SKU0015,2025-02-09,2025-03-06,129,Std,13.29,after
SO00066,CUST0032,SKU0005,2025-05-11,2025-06-01,100,Launch,14.09,after
SO00067,CUST0006,SKU0019,2025-06-25,2025-07-21,192,Std,15.57,after
SO00068,CUST0001,SKU0026,2025-04-29,2025-05-20,61,Launch,12.58,after
SO00069,CUST0009,SKU0010,2025-03-31,2025-04-24,89,Std,10.31,after
SO00070,CUST0032,SKU0010,2025-06-15,2025-06-28,138,Std,16.48,after
SO00071,CUST0030,SKU0020,2025-01-25,2025-02-02,128,Std,36.42,after
SO00072,CUST0001,SKU0024,2025-03-10,2025-03-26,93,Std,16.66,after
SO00073,CUST0028,SKU0010,2025-04-17,2025-05-04,177,Std,15.04,after
SO00074,CUST0029,SKU0016,2025-04-24,2025-05-23,239,Expedite,6.38,after
SO00075,CUST0030,SKU0017,2025-03-19,2025-03-28,217,Std,20.16,after
SO00076,CUST0027,SKU0010,2025-01-17,2025-02-01,129,Std,16.17,after
SO00077,CUST0010,SKU0027,2025-06-26,2025-07-10,144,Std,8.2,after
SO00078,CUST0029,SKU0007,2025-04-16,2025-04-23,66,Expedite,26.78,after
SO00079,CUST0008,SKU0005,2025-06-21,2025-07-09,100,Std,21.17,after
SO00080,CUST0007,SKU0006,2025-06-07,2025-06-18,40,Std,15.44,after
SO00081,CUST0015,SKU0018,2025-01-20,2025-02-12,85,Expedite,16.27,after
SO00082,CUST0020,SKU0027,2025-04-04,2025-04-23,118,Expedite,8.8,after
SO00083,CUST0007,SKU0016,2025-02-25,2025-03-17,27,Std,20.81,after
SO00084,CUST0027,SKU0002,2025-03-08,2025-03-15,191,Std,13.09,after
SO00085,CUST0040,SKU0006,2025-05-03,2025-05-10,30,Launch,16.21,after
SO00086,CUST0032,SKU0028,2025-01-10,2025-01-26,78,Std,17.94,after
SO00087,CUST0010,SKU0013,2025-06-21,2025-06-28,211,Std,23.71,after
SO00088,CUST0008,SKU0001,2025-04-02,2025-04-15,229,Std,7.8,after
SO00089,CUST0019,SKU0011,2025-05-28,2025-06-16,63,Std,20.83,after
SO00090,CUST0025,SKU0024,2025-02-07,2025-03-04,44,Launch,18.86,after
SO00091,CUST0031,SKU0015,2025-03-07,2025-03-22,71,Std,11.92,after
SO00092,CUST0012,SKU0010,2025-04-23,2025-05-02,31,Std,9.4,after
SO00093,CUST0025,SKU0001,2025-04-17,2025-05-05,56,Std,12.53,after
SO00094,CUST0032,SKU0001,2025-03-20,2025-03-29,105,Expedite,14.11,after
SO00095,CUST0014,SKU0017,2025-02-17,2025-02-24,43,Std,34.53,after
SO00096,CUST0030,SKU0029,2025-04-28,2025-05-13,183,Expedite,10.43,after
SO00097,CUST0034,SKU0013,2025-03-14,2025-03-29,238,Std,24.88,after
SO00098,CUST0028,SKU0026,2025-01-04,2025-01-11,23,Std,14.58,after
SO00099,CUST0032,SKU0024,2025-04-28,2025-05-15,136,Std,9.39,after
SO00100,CUST0018,SKU0018,2025-06-19,2025-06-28,90,Std,9.21,after
SO00101,CUST0021,SKU0005,2025-05-10,2025-05-29,102,Std,19.86,after
SO00102,CUST0013,SKU0027,2025-04-27,2025-05-18,98,Std,12.99,after
SO00103,CUST0003,SKU0025,2025-01-26,2025-02-13,157,Expedite,19.54,after
SO00104,CUST0012,SKU0025,2025-02-05,2025-02-18,149,Std,13.19,after
SO00105,CUST0028,SKU0001,2025-05-28,2025-06-17,49,Std,7.29,after
SO00106,CUST0037,SKU0010,2025-02-23,2025-03-19,104,Std,26.2,after
SO00107,CUST0021,SKU0029,2025-05-23,2025-06-17,195,Std,18.09,after
SO00108,CUST0038,SKU0017,2025-02-11,2025-03-03,156,Std,24.19,after
SO00109,CUST0032,SKU0016,2025-03-08,2025-03-28,63,Std,5.47,after
SO00110,CUST0005,SKU0018,2025-01-03,2025-01-19,72,Std,20.35,after
SO00111,CUST0008,SKU0019,2025-01-12,2025-02-06,83,Std,16.11,after
SO00112,CUST0013,SKU0016,2025-02-20,2025-03-10,39,Expedite,10.25,after
SO00113,CUST0004,SKU0025,2025-02-10,2025-03-09,159,Std,7.21,after
SO00114,CUST0012,SKU0017,2025-04-04,2025-04-18,114,Std,13.79,after
SO00115,CUST0001,SKU0029,2025-06-14,2025-06-25,112,Std,29.67,after
SO00116,CUST0034,SKU0008,2025-01-18,2025-02-06,71,Std,24.33,after
SO00117,CUST0038,SKU0010,2025-01-08,2025-01-19,32,Std,21.08,after
SO00118,CUST0029,SKU0013,2025-01-30,2025-02-17,60,Std,18.93,after
SO00119,CUST0004,SKU0011,2025-01-11,2025-02-03,261,Expedite,7.29,after
SO00120,CUST0025,SKU0009,2025-05-22,2025-05-30,197,Std,8.97,after
SO00121,CUST0036,SKU0024,2025-02-07,2025-03-02,110,Std,7.18,after
SO00122,CUST0026,SKU0010,2025-01-30,2025-02-17,49,Std,9.61,after
SO00123,CUST0001,SKU0024,2025-04-25,2025-05-18,98,Std,9.3,after
SO00124,CUST0018,SKU0016,2025-02-21,2025-03-10,94,Std,22.2,after
SO00125,CUST0007,SKU0011,2025-02-25,2025-03-13,133,Std,19.82,after
SO00126,CUST0033,SKU0025,2025-02-13,2025-02-28,174,Std,10.15,after
SO00127,CUST0001,SKU0006,2025-03-05,2025-03-23,65,Std,15.0,after
SO00128,CUST0026,SKU0026,2025-04-09,2025-04-26,33,Expedite,25.79,after
SO00129,CUST0008,SKU0027,2025-04-26,2025-05-15,104,Expedite,10.14,after
SO00130,CUST0003,SKU0016,2025-03-13,2025-04-06,70,Std,15.89,after
SO00131,CUST0032,SKU0030,2025-04-24,2025-05-12,31,Std,18.03,after
SO00132,CUST0030,SKU0017,2025-03-29,2025-04-16,95,Std,10.67,after
SO00133,CUST0011,SKU0013,2025-06-04,2025-06-24,100,Expedite,13.74,after
SO00134,CUST0039,SKU0017,2025-03-12,2025-03-30,145,Std,13.31,after
SO00135,CUST0029,SKU0028,2025-04-03,2025-04-17,228,Std,12.7,after
SO00136,CUST0011,SKU0013,2025-02-14,2025-02-26,143,Std,8.89,after
SO00137,CUST0005,SKU0029,2025-04-14,2025-04-21,49,Expedite,16.38,after
SO00138,CUST0009,SKU0013,2025-01-21,2025-02-10,257,Expedite,14.12,after
SO00139,CUST0009,SKU0012,2025-01-20,2025-01-29,51,Expedite,17.71,after
SO00140,CUST0032,SKU0014,2025-03-05,2025-03-21,40,Std,11.99,after
SO00141,CUST0037,SKU0012,2025-02-12,2025-03-04,137,Std,11.96,after
SO00142,CUST0032,SKU0009,2025-01-05,2025-01-29,76,Expedite,20.37,after
SO00143,CUST0004,SKU0007,2025-02-03,2025-02-16,103,Std,6.14,after
SO00144,CUST0012,SKU0004,2025-04-14,2025-04-27,141,Std,11.0,after
SO00145,CUST0003,SKU0023,2025-06-09,2025-06-25,111,Launch,15.2,after
SO00146,CUST0008,SKU0010,2025-04-06,2025-04-26,73,Std,11.6,after
SO00147,CUST0002,SKU0026,2025-03-04,2025-03-30,154,Std,18.53,after
SO00148,CUST0003,SKU0007,2025-06-02,2025-06-16,127,Std,8.21,after
SO00149,CUST0035,SKU0018,2025-03-21,2025-04-14,76,Std,25.15,after
SO00150,CUST0001,SKU0004,2025-05-04,2025-05-19,368,Std,11.04,after
SO00151,CUST0039,SKU0006,2025-01-26,2025-02-22,71,Std,9.21,after
SO00152,CUST0003,SKU0017,2025-02-18,2025-03-02,48,Std,13.73,after
SO00153,CUST0036,SKU0016,2025-04-28,2025-05-05,203,Std,21.24,after
SO00154,CUST0038,SKU0009,2025-05-12,2025-06-06,135,Std,12.37,after
