snapshot_date,location_id,sku_id,on_hand_qty,reserved_qty,backorder_qty,holding_cost_per_unit_per_day,stockout_cost_per_unit,scenario
2025-01-06,DC_CT,SKU0011,346,14,0,0.0148,0.089,after
2025-01-06,DC_CT,SKU0012,371,14,0,0.0151,0.123,after
2025-01-06,DC_CT,SKU0019,320,10,0,0.0184,0.138,after
2025-01-06,DC_CT,SKU0024,351,8,0,0.0127,0.117,after
2025-01-06,DC_DN,SKU0011,385,19,0,0.0179,0.096,after
2025-01-06,DC_DN,SKU0016,71,3,0,0.0169,0.125,after
2025-01-06,DC_DN,SKU0018,489,21,0,0.012,0.105,after
2025-01-06,DC_DN,SKU0022,47,1,0,0.0121,0.098,after
2025-01-06,DC_HCMC,SKU0016,413,17,0,0.0171,0.146,after
2025-01-06,DC_HN,SKU0016,496,15,0,0.0193,0.141,after
2025-01-06,DC_HN,SKU0018,349,10,0,0.0103,0.142,after
2025-01-06,WH_NORTH,SKU0003,207,7,0,0.0182,0.116,after
2025-01-06,WH_NORTH,SKU0006,225,5,0,0.0149,0.146,after
2025-01-06,WH_SOUTH,SKU0003,616,23,0,0.0179,0.163,after
2025-01-06,WH_SOUTH,SKU0005,528,21,0,0.0171,0.153,after
2025-01-06,WH_SOUTH,SKU0018,141,1,0,0.0182,0.119,after
2025-01-06,WH_SOUTH,SKU0022,462,19,0,0.0161,0.125,after
2025-01-13,DC_CT,SKU0006,78,1,0,0.0109,0.155,after
2025-01-13,DC_CT,SKU0008,140,4,0,0.0136,0.144,after
2025-01-13,DC_DN,SKU0022,41,1,0,0.0148,0.135,after
2025-01-13,DC_DN,SKU0030,228,4,0,0.0139,0.104,after
2025-01-13,DC_HN,SKU0005,396,14,0,0.0171,0.144,after
2025-01-13,DC_HN,SKU0016,412,12,0,0.006,0.147,after
2025-01-13,DC_HN,SKU0019,177,3,0,0.0121,0.118,after
2025-01-13,DC_HN,SKU0026,254,10,0,0.0136,0.15,after
2025-01-13,WH_NORTH,SKU0008,267,7,0,0.0162,0.1,after
2025-01-13,WH_SOUTH,SKU0014,430,23,0,0.0159,0.135,after
2025-01-13,WH_SOUTH,SKU0015,363,15,0,0.0148,0.121,after
2025-01-20,DC_CT,SKU0011,223,11,0,0.015,0.15,after
2025-01-20,DC_CT,SKU0014,123,8,0,0.0187,0.123,after
2025-01-20,DC_DN,SKU0030,185,9,0,0.0169,0.105,after
2025-01-20,DC_HCMC,SKU0003,277,14,0,0.0154,0.122,after
2025-01-20,DC_HCMC,SKU0009,85,5,0,0.015,0.172,after
2025-01-20,DC_HCMC,SKU0014,78,3,0,0.0182,0.111,after
2025-01-20,DC_HCMC,SKU0024,144,6,0,0.0114,0.129,after
2025-01-20,DC_HN,SKU0009,113,4,0,0.0124,0.121,after
2025-01-20,DC_HN,SKU0019,139,10,0,0.0161,0.099,after
2025-01-20,WH_NORTH,SKU0006,225,12,0,0.0197,0.112,after
2025-01-20,WH_NORTH,SKU0018,563,21,0,0.0112,0.093,after
2025-01-20,WH_NORTH,SKU0024,730,38,0,0.0161,0.106,after
2025-01-20,WH_NORTH,SKU0025,114,6,0,0.0162,0.121,after
2025-01-20,WH_SOUTH,SKU0015,363,15,0,0.0175,0.12,after
2025-01-20,WH_SOUTH,SKU0025,327,12,0,0.0143,0.073,after
2025-01-27,DC_CT,SKU0012,192,6,0,0.0116,0.097,after
2025-01-27,DC_CT,SKU0016,125,4,0,0.016,0.159,after
2025-01-27,DC_DN,SKU0012,46,3,0,0.0151,0.081,after
2025-01-27,DC_DN,SKU0017,240,10,0,0.0178,0.125,after
2025-01-27,DC_HCMC,SKU0022,103,8,0,0.0142,0.121,after
