event_id,work_order_id,sales_order_id,sku_id,factory_id,production_line_id,operation_step,area,step_start_time,step_end_time,produced_qty,rejected_qty,rework_qty,setup_type,setup_time_min,labor_hours,machine_hours,scenario
EV0000001,WO000001,SO00662,SKU0014,F1,F1-L2,CUT,Cutting,2025-01-04 09:50:04.442978,2025-01-04 12:50:33.406388,43,0,0,start_of_day,7.33,2.71,3.01,after
EV0000002,WO000001,SO00662,SKU0014,F1,F1-L3,SEW,Sewing,2025-01-04 13:07:01.609143,2025-01-05 03:15:14.288173,43,0,0,minor,6.43,22.62,14.14,after
EV0000003,WO000001,SO00662,SKU0014,F1,F1-L1,QC_INLINE,Quality,2025-01-05 03:26:56.929788,2025-01-05 03:54:40.010442,43,0,0,minor,3.01,0.42,0.18,after
EV0000004,WO000001,SO00662,SKU0014,F1,F1-L1,FINISH,Finishing,2025-01-05 04:17:09.459733,2025-01-05 07:21:49.081374,43,0,0,minor,2.66,3.69,1.23,after
EV0000005,WO000001,SO00662,SKU0014,F1,F1-L2,QC_FINAL,Quality,2025-01-05 07:29:09.260286,2025-01-05 08:06:29.475423,43,0,0,minor,1.84,0.56,0.25,after
EV0000006,WO000001,SO00662,SKU0014,F1,F1-L2,PACK,Packing,2025-01-05 08:09:51.453246,2025-01-05 09:23:11.848902,43,1,0,minor,0.78,1.1,0.49,after
EV0000007,WO000002,SO00218,SKU0022,F1,F1-L3,CUT,Cutting,2025-01-05 08:59:34.688653,2025-01-05 12:46:12.363235,61,0,0,start_of_day,15.27,3.4,3.78,after
EV0000008,WO000002,SO00218,SKU0022,F1,F1-L2,SEW,Sewing,2025-01-05 13:08:27.925737,2025-01-06 12:01:01.926343,61,1,0,minor,7.2,36.6,22.88,after
EV0000009,WO000002,SO00218,SKU0022,F1,F1-L3,QC_INLINE,Quality,2025-01-06 12:20:52.072139,2025-01-06 13:01:05.046413,61,0,0,minor,5.24,0.6,0.27,after
EV0000010,WO000002,SO00218,SKU0022,F1,F1-L1,FINISH,Finishing,2025-01-06 13:14:43.907610,2025-01-06 17:44:42.221666,61,1,0,minor,1.27,5.4,1.8,after
