inspection_id,event_id,work_order_id,sku_id,factory_id,production_line_id,inspection_time,inspector_id,inspection_stage,qty_checked,result,defect_code,defects_found_qty,scenario
QI000001,EV0003061,WO000477,SKU0002,F1,F1-L1,2025-05-09 00:50:15.580647,INSP011,QC_FINAL,22,PASS,,0,after
QI000002,EV0001588,WO000249,SKU0026,F2,F2-L3,2025-03-04 16:26:45.337905,INSP007,CUT,71,PASS,,0,after
QI000003,EV0002033,WO000316,SKU0018,F1,F1-L3,2025-03-24 08:22:00.776652,INSP014,PACK,49,PASS,,0,after
QI000004,EV0003555,WO000555,SKU0015,F1,F1-L3,2025-06-06 15:50:39.655756,INSP010,QC_INLINE,7,PASS,,0,after
QI000005,EV0004325,WO000677,SKU0002,F1,F1-L2,2025-06-24 04:24:46.454347,INSP009,FINISH,61,PASS,,0,after
QI000006,EV0000102,WO000017,SKU0024,F1,F1-L3,2025-01-10 00:48:22.125689,INSP017,QC_INLINE,6,FAIL,ZIPPER_FAIL,1,after
QI000007,EV0001289,WO000201,SKU0001,F1,F1-L3,2025-02-27 16:21:54.290820,INSP017,QC_FINAL,63,PASS,,0,after
QI000008,EV0003404,WO000531,SKU0002,F1,F1-L1,2025-05-26 00:27:34.743399,INSP008,QC_FINAL,29,FAIL,LABEL_WRONG,2,after
QI000009,EV0004082,WO000638,SKU0007,F1,F1-L2,2025-06-17 22:13:43.672358,INSP007,FINISH,19,PASS,,0,after
QI000010,EV0000493,WO000078,SKU0014,F1,F1-L3,2025-01-25 13:25:23.060431,INSP003,QC_INLINE,57,FAIL,THREAD_BREAK,3,after
QI000011,EV0002403,WO000374,SKU0020,F2,F2-L3,2025-04-14 07:15:21.994117,INSP017,QC_FINAL,55,PASS,,0,after
QI000012,EV0004202,WO000657,SKU0014,F1,F1-L3,2025-06-23 05:36:36.662660,INSP018,QC_FINAL,26,PASS,,0,after
QI000013,EV0001109,WO000173,SKU0013,F1,F1-L3,2025-02-17 00:46:27.448942,INSP004,QC_FINAL,10,PASS,,0,after
QI000014,EV0004451,WO000697,SKU0018,F1,F1-L3,2025-06-30 19:31:21.490425,INSP002,QC_INLINE,11,PASS,,0,after
QI000015,EV0002768,WO000432,SKU0021,F2,F2-L3,2025-04-28 05:34:43.546891,INSP003,QC_INLINE,54,PASS,,0,after
QI000016,EV0003007,WO000469,SKU0020,F2,F2-L1,2025-05-06 00:24:20.248426,INSP001,QC_INLINE,90,PASS,,0,after
QI000017,EV0003065,WO000478,SKU0003,F2,F2-L3,2025-05-10 02:00:23.720984,INSP016,QC_INLINE,135,PASS,,0,after
QI000018,EV0002597,WO000404,SKU0013,F1,F1-L1,2025-04-16 10:43:04.488659,INSP017,PACK,30,PASS,,0,after
QI000019,EV0001756,WO000275,SKU0006,F2,F2-L3,2025-03-14 17:47:29.305832,INSP002,QC_INLINE,63,PASS,,0,after
QI000020,EV0002956,WO000461,SKU0024,F1,F1-L2,2025-05-02 15:52:18.839533,INSP013,FINISH,39,PASS,,0,after
QI000021,EV0003604,WO000563,SKU0001,F1,F1-L2,2025-06-06 08:54:13.236112,INSP011,SEW,42,PASS,,0,after
QI000022,EV0003848,WO000601,SKU0019,F2,F2-L1,2025-06-10 22:36:45.452543,INSP010,QC_INLINE,17,PASS,,0,after
QI000023,EV0002852,WO000445,SKU0010,F1,F1-L2,2025-04-24 06:18:07.687285,INSP016,SEW,9,PASS,,0,after
QI000024,EV0000480,WO000076,SKU0018,F1,F1-L2,2025-01-23 00:04:27.201996,INSP002,SEW,21,PASS,,0,after
QI000025,EV0002699,WO000421,SKU0008,F2,F2-L2,2025-04-23 08:09:33.396547,INSP016,QC_INLINE,17,PASS,,0,after
QI000026,EV0003444,WO000538,SKU0018,F1,F1-L1,2025-05-23 12:27:23.839861,INSP005,SEW,103,PASS,,0,after
QI000027,EV0000545,WO000086,SKU0002,F1,F1-L3,2025-01-30 02:19:20.119052,INSP011,QC_INLINE,24,PASS,,0,after
QI000028,EV0002420,WO000377,SKU0001,F1,F1-L2,2025-04-10 14:59:23.900439,INSP004,QC_INLINE,85,PASS,,0,after
QI000029,EV0001128,WO000176,SKU0021,F2,F2-L2,2025-02-20 12:13:39.797796,INSP017,PACK,84,PASS,,0,after
QI000030,EV0002080,WO000324,SKU0028,F2,F2-L3,2025-03-28 14:19:05.631227,INSP005,QC_INLINE,36,PASS,,0,after
QI000031,EV0000183,WO000029,SKU0013,F1,F1-L2,2025-01-14 21:34:47.431770,INSP011,QC_FINAL,14,FAIL,MEASURE_OOS,1,after
QI000032,EV0000763,WO000120,SKU0022,F1,F1-L2,2025-02-06 01:40:15.477155,INSP014,QC_INLINE,27,FAIL,MEASURE_OOS,5,after
QI000033,EV0004146,WO000648,SKU0028,F2,F2-L3,2025-06-18 19:08:25.054659,INSP001,QC_FINAL,76,PASS,,0,after
QI000034,EV0003299,WO000515,SKU0029,F1,F1-L1,2025-05-17 17:34:02.368972,INSP006,SEW,168,FAIL,THREAD_BREAK,19,after
QI000035,EV0002320,WO000361,SKU0013,F1,F1-L3,2025-04-07 10:37:39.088087,INSP014,FINISH,129,PASS,,0,after
QI000036,EV0002802,WO000437,SKU0017,F2,F2-L3,2025-05-01 06:39:25.049335,INSP001,QC_FINAL,17,PASS,,0,after
QI000037,EV0000004,WO000001,SKU0014,F1,F1-L1,2025-01-05 08:06:49.081374,INSP008,FINISH,33,PASS,,0,after
QI000038,EV0004479,WO000701,SKU0024,F1,F1-L2,2025-07-05 02:46:33.296841,INSP007,PACK,54,PASS,,0,after
QI000039,EV0002108,WO000328,SKU0027,F2,F2-L2,2025-03-24 23:32:55.847166,INSP009,PACK,7,FAIL,PRINT_MISALIGN,1,after
QI000040,EV0000775,WO000122,SKU0010,F1,F1-L2,2025-02-08 19:35:10.425546,INSP008,QC_INLINE,67,PASS,,0,after
QI000041,EV0003110,WO000485,SKU0019,F2,F2-L3,2025-05-09 15:51:02.725822,INSP007,QC_INLINE,27,PASS,,0,after
QI000042,EV0001121,WO000175,SKU0001,F1,F1-L3,2025-02-19 02:54:42.897919,INSP006,QC_FINAL,22,PASS,,0,after
QI000043,EV0001696,WO000265,SKU0015,F1,F1-L1,2025-03-10 21:07:38.091240,INSP016,PACK,42,PASS,,0,after
QI000044,EV0002268,WO000353,SKU0010,F1,F1-L2,2025-04-09 04:42:04.004729,INSP010,QC_INLINE,26,PASS,,0,after
QI000045,EV0003289,WO000513,SKU0020,F2,F2-L1,2025-05-19 14:10:18.825028,INSP001,QC_FINAL,40,PASS,,0,after
QI000046,EV0000978,WO000154,SKU0015,F1,F1-L1,2025-02-13 16:08:32.644892,INSP017,SEW,17,PASS,,0,after
QI000047,EV0002064,WO000321,SKU0029,F1,F1-L3,2025-03-26 01:16:13.685439,INSP011,PACK,134,PASS,,0,after
QI000048,EV0000891,WO000140,SKU0013,F1,F1-L2,2025-02-12 21:07:58.850953,INSP012,SEW,81,PASS,,0,after
QI000049,EV0001122,WO000175,SKU0001,F1,F1-L3,2025-02-19 02:38:06.256755,INSP002,PACK,23,PASS,,0,after
