shipment_id,from_node,to_node,sku_id,ship_date,planned_delivery_date,actual_delivery_date,carrier,mode,route_lane_id,shipped_qty,freight_cost,priority_bucket,scenario
SH000001,WH_NORTH,DC_HN,SKU0026,2025-01-06,2025-01-07,2025-01-07,CarrierB,Road,WH_NORTH->DC_HN:Road,22,2.83,Std,after
SH000002,WH_SOUTH,DC_CT,SKU0023,2025-01-15,2025-01-16,2025-01-16,CarrierA,Road,WH_SOUTH->DC_CT:Road,121,18.6,Std,after
SH000003,WH_SOUTH,DC_CT,SKU0009,2025-01-15,2025-01-16,2025-01-16,CarrierA,Road,WH_SOUTH->DC_CT:Road,97,13.9,Std,after
SH000004,WH_SOUTH,DC_CT,SKU0010,2025-01-15,2025-01-16,2025-01-16,CarrierC,Road,WH_SOUTH->DC_CT:Road,42,6.52,Std,after
SH000005,WH_NORTH,DC_DN,SKU0019,2025-01-15,2025-01-17,2025-01-17,CarrierC,Road,WH_NORTH->DC_DN:Road,84,16.98,Std,after
SH000006,WH_NORTH,DC_DN,SKU0026,2025-01-15,2025-01-17,2025-01-17,CarrierC,Road,WH_NORTH->DC_DN:Road,81,18.07,Std,after
SH000007,WH_SOUTH,DC_HCMC,SKU0004,2025-01-16,2025-01-17,2025-01-17,CarrierB,Road,WH_SOUTH->DC_HCMC:Road,52,5.77,Std,after
SH000008,WH_SOUTH,DC_HCMC,SKU0002,2025-01-16,2025-01-17,2025-01-17,CarrierC,Road,WH_SOUTH->DC_HCMC:Road,47,5.12,Std,after
SH000009,WH_SOUTH,DC_HCMC,SKU0014,2025-01-16,2025-01-17,2025-01-17,CarrierA,Road,WH_SOUTH->DC_HCMC:Road,36,4.35,Std,after
SH000010,WH_NORTH,DC_HN,SKU0001,2025-01-16,2025-01-17,2025-01-17,CarrierC,Road,WH_NORTH->DC_HN:Road,99,11.52,Expedite,after
SH000011,WH_NORTH,DC_HN,SKU0015,2025-01-13,2025-01-14,2025-01-14,CarrierB,Road,WH_NORTH->DC_HN:Road,69,8.03,Std,after
SH000012,WH_NORTH,DC_HN,SKU0018,2025-01-13,2025-01-14,2025-01-14,CarrierA,Road,WH_NORTH->DC_HN:Road,70,9.5,Std,after
