week,production_line_id,machine_hours,daily_capacity_machine_hours,daily_capacity_labor_hours,weekly_capacity_machine_hours,weekly_capacity_labor_hours,utilization_machine,scenario
2024-12-30/2025-01-05,F1-L1,17.47,13.6,20.0,81.6,120.0,0.21409313725490195,after
2024-12-30/2025-01-05,F1-L1,66.47,13.6,20.0,81.6,120.0,0.8145833333333333,before
2024-12-30/2025-01-05,F1-L2,79.27,20.4,30.0,122.39999999999999,180.0,0.6476307189542484,after
2024-12-30/2025-01-05,F1-L2,48.53,20.4,30.0,122.39999999999999,180.0,0.3964869281045752,before
2024-12-30/2025-01-05,F1-L3,44.75,8.5,12.5,51.0,75.0,0.8774509803921569,after
2024-12-30/2025-01-05,F1-L3,81.17,8.5,12.5,51.0,75.0,1.5915686274509804,before
2024-12-30/2025-01-05,F2-L1,6.57,20.4,30.0,122.39999999999999,180.0,0.0536764705882353,after
2024-12-30/2025-01-05,F2-L1,3.03,20.4,30.0,122.39999999999999,180.0,0.024754901960784313,before
2024-12-30/2025-01-05,F2-L2,34.65,13.6,20.0,81.6,120.0,0.42463235294117646,after
2024-12-30/2025-01-05,F2-L2,5.36,13.6,20.0,81.6,120.0,0.06568627450980392,before
2024-12-30/2025-01-05,F2-L3,35.74,8.5,12.5,51.0,75.0,0.7007843137254902,after
2024-12-30/2025-01-05,F2-L3,180.02,8.5,12.5,51.0,75.0,3.5298039215686274,before
2025-01-06/2025-01-12,F1-L1,181.44,13.6,20.0,81.6,120.0,2.223529411764706,after
2025-01-06/2025-01-12,F1-L1,202.64999999999998,13.6,20.0,81.6,120.0,2.483455882352941,before
2025-01-06/2025-01-12,F1-L2,232.44,20.4,30.0,122.39999999999999,180.0,1.8990196078431374,after
2025-01-06/2025-01-12,F1-L2,117.47,20.4,30.0,122.39999999999999,180.0,0.9597222222222223,before
2025-01-06/2025-01-12,F1-L3,109.44,8.5,12.5,51.0,75.0,2.1458823529411766,after
2025-01-06/2025-01-12,F1-L3,162.69,8.5,12.5,51.0,75.0,3.19,before
2025-01-06/2025-01-12,F2-L1,73.54,20.4,30.0,122.39999999999999,180.0,0.6008169934640524,after
2025-01-06/2025-01-12,F2-L1,88.04,20.4,30.0,122.39999999999999,180.0,0.7192810457516341,before
2025-01-06/2025-01-12,F2-L2,70.59,13.6,20.0,81.6,120.0,0.8650735294117649,after
2025-01-06/2025-01-12,F2-L2,151.7,13.6,20.0,81.6,120.0,1.8590686274509804,before
2025-01-06/2025-01-12,F2-L3,175.24,8.5,12.5,51.0,75.0,3.436078431372549,after
2025-01-06/2025-01-12,F2-L3,371.27,8.5,12.5,51.0,75.0,7.279803921568627,before
2025-01-13/2025-01-19,F1-L1,123.39,13.6,20.0,81.6,120.0,1.5121323529411765,after
2025-01-13/2025-01-19,F1-L1,134.55,13.6,20.0,81.6,120.0,1.6488970588235297,before
2025-01-13/2025-01-19,F1-L2,416.49,20.4,30.0,122.39999999999999,180.0,3.4026960784313727,after
2025-01-13/2025-01-19,F1-L2,368.52,20.4,30.0,122.39999999999999,180.0,3.01078431372549,before
2025-01-13/2025-01-19,F1-L3,172.14,8.5,12.5,51.0,75.0,3.3752941176470586,after
2025-01-13/2025-01-19,F1-L3,348.06,8.5,12.5,51.0,75.0,6.824705882352942,before
2025-01-13/2025-01-19,F2-L1,66.86,20.4,30.0,122.39999999999999,180.0,0.5462418300653595,after
2025-01-13/2025-01-19,F2-L1,205.03,20.4,30.0,122.39999999999999,180.0,1.6750816993464053,before
2025-01-13/2025-01-19,F2-L2,132.05,13.6,20.0,81.6,120.0,1.618259803921569,after
2025-01-13/2025-01-19,F2-L2,177.61,13.6,20.0,81.6,120.0,2.176593137254902,before
2025-01-13/2025-01-19,F2-L3,207.97,8.5,12.5,51.0,75.0,4.077843137254902,after
2025-01-13/2025-01-19,F2-L3,206.96,8.5,12.5,51.0,75.0,4.058039215686275,before
2025-01-20/2025-01-26,F1-L1,152.82999999999998,13.6,20.0,81.6,120.0,1.8729166666666666,after
2025-01-20/2025-01-26,F1-L1,252.75,13.6,20.0,81.6,120.0,3.0974264705882355,before
2025-01-20/2025-01-26,F1-L2,162.06,20.4,30.0,122.39999999999999,180.0,1.3240196078431374,after
2025-01-20/2025-01-26,F1-L2,245.02,20.4,30.0,122.39999999999999,180.0,2.0017973856209155,before
2025-01-20/2025-01-26,F1-L3,85.17,8.5,12.5,51.0,75.0,1.67,after
2025-01-20/2025-01-26,F1-L3,107.62,8.5,12.5,51.0,75.0,2.1101960784313727,before
2025-01-20/2025-01-26,F2-L1,153.48,20.4,30.0,122.39999999999999,180.0,1.253921568627451,after
2025-01-20/2025-01-26,F2-L1,120.27,20.4,30.0,122.39999999999999,180.0,0.9825980392156863,before
2025-01-20/2025-01-26,F2-L2,106.97999999999999,13.6,20.0,81.6,120.0,1.3110294117647059,after
2025-01-20/2025-01-26,F2-L2,40.28,13.6,20.0,81.6,120.0,0.4936274509803922,before
2025-01-20/2025-01-26,F2-L3,180.86,8.5,12.5,51.0,75.0,3.5462745098039217,after
2025-01-20/2025-01-26,F2-L3,169.26999999999998,8.5,12.5,51.0,75.0,3.319019607843137,before
2025-01-27/2025-02-02,F1-L1,110.67999999999999,13.6,20.0,81.6,120.0,1.356372549019608,after
2025-01-27/2025-02-02,F1-L1,220.25,13.6,20.0,81.6,120.0,2.699142156862745,before
2025-01-27/2025-02-02,F1-L2,536.52,20.4,30.0,122.39999999999999,180.0,4.383333333333334,after
2025-01-27/2025-02-02,F1-L2,157.01,20.4,30.0,122.39999999999999,180.0,1.2827614379084968,before
2025-01-27/2025-02-02,F1-L3,167.54,8.5,12.5,51.0,75.0,3.2850980392156863,after
2025-01-27/2025-02-02,F1-L3,249.32999999999998,8.5,12.5,51.0,75.0,4.888823529411765,before
2025-01-27/2025-02-02,F2-L1,178.39,20.4,30.0,122.39999999999999,180.0,1.4574346405228757,after
2025-01-27/2025-02-02,F2-L1,187.19,20.4,30.0,122.39999999999999,180.0,1.5293300653594772,before
2025-01-27/2025-02-02,F2-L2,57.83,13.6,20.0,81.6,120.0,0.7087009803921569,after
2025-01-27/2025-02-02,F2-L2,271.36,13.6,20.0,81.6,120.0,3.325490196078432,before
2025-01-27/2025-02-02,F2-L3,159.04,8.5,12.5,51.0,75.0,3.1184313725490194,after
2025-01-27/2025-02-02,F2-L3,295.35,8.5,12.5,51.0,75.0,5.791176470588236,before
2025-02-03/2025-02-09,F1-L1,384.15999999999997,13.6,20.0,81.6,120.0,4.707843137254902,after
2025-02-03/2025-02-09,F1-L1,440.03,13.6,20.0,81.6,120.0,5.392524509803922,before
2025-02-03/2025-02-09,F1-L2,272.1,20.4,30.0,122.39999999999999,180.0,2.223039215686275,after
2025-02-03/2025-02-09,F1-L2,630.39,20.4,30.0,122.39999999999999,180.0,5.150245098039216,before
2025-02-03/2025-02-09,F1-L3,218.61,8.5,12.5,51.0,75.0,4.286470588235295,after
2025-02-03/2025-02-09,F1-L3,198.34,8.5,12.5,51.0,75.0,3.8890196078431374,before
2025-02-03/2025-02-09,F2-L1,83.89,20.4,30.0,122.39999999999999,180.0,0.6853758169934641,after
2025-02-03/2025-02-09,F2-L1,93.32000000000001,20.4,30.0,122.39999999999999,180.0,0.7624183006535948,before
2025-02-03/2025-02-09,F2-L2,140.29000000000002,13.6,20.0,81.6,120.0,1.7192401960784318,after
2025-02-03/2025-02-09,F2-L2,236.1,13.6,20.0,81.6,120.0,2.8933823529411766,before
2025-02-03/2025-02-09,F2-L3,326.53,8.5,12.5,51.0,75.0,6.402549019607843,after
2025-02-03/2025-02-09,F2-L3,243.38,8.5,12.5,51.0,75.0,4.772156862745098,before
2025-02-10/2025-02-16,F1-L1,190.44,13.6,20.0,81.6,120.0,2.333823529411765,after
2025-02-10/2025-02-16,F1-L1,406.09000000000003,13.6,20.0,81.6,120.0,4.976593137254903,before
2025-02-10/2025-02-16,F1-L2,414.55,20.4,30.0,122.39999999999999,180.0,3.3868464052287583,after
2025-02-10/2025-02-16,F1-L2,280.17,20.4,30.0,122.39999999999999,180.0,2.288970588235294,before
2025-02-10/2025-02-16,F1-L3,293.01,8.5,12.5,51.0,75.0,5.745294117647059,after
2025-02-10/2025-02-16,F1-L3,74.36,8.5,12.5,51.0,75.0,1.4580392156862745,before
2025-02-10/2025-02-16,F2-L1,158.74999999999997,20.4,30.0,122.39999999999999,180.0,1.2969771241830064,after
2025-02-10/2025-02-16,F2-L1,189.93,20.4,30.0,122.39999999999999,180.0,1.55171568627451,before
2025-02-10/2025-02-16,F2-L2,284.04,13.6,20.0,81.6,120.0,3.480882352941177,after
2025-02-10/2025-02-16,F2-L2,122.94,13.6,20.0,81.6,120.0,1.5066176470588235,before
2025-02-10/2025-02-16,F2-L3,118.75,8.5,12.5,51.0,75.0,2.3284313725490198,after
2025-02-10/2025-02-16,F2-L3,309.03000000000003,8.5,12.5,51.0,75.0,6.0594117647058825,before
2025-02-17/2025-02-23,F1-L1,325.57,13.6,20.0,81.6,120.0,3.9898284313725494,after
2025-02-17/2025-02-23,F1-L1,330.07,13.6,20.0,81.6,120.0,4.044975490196078,before
2025-02-17/2025-02-23,F1-L2,291.94,20.4,30.0,122.39999999999999,180.0,2.3851307189542483,after
2025-02-17/2025-02-23,F1-L2,250.99,20.4,30.0,122.39999999999999,180.0,2.0505718954248366,before
2025-02-17/2025-02-23,F1-L3,248.33,8.5,12.5,51.0,75.0,4.86921568627451,after
2025-02-17/2025-02-23,F1-L3,132.73,8.5,12.5,51.0,75.0,2.602549019607843,before
2025-02-17/2025-02-23,F2-L1,186.45,20.4,30.0,122.39999999999999,180.0,1.5232843137254901,after
2025-02-17/2025-02-23,F2-L1,204.41,20.4,30.0,122.39999999999999,180.0,1.670016339869281,before
2025-02-17/2025-02-23,F2-L2,99.0,13.6,20.0,81.6,120.0,1.2132352941176472,after
2025-02-17/2025-02-23,F2-L2,136.05,13.6,20.0,81.6,120.0,1.667279411764706,before
2025-02-17/2025-02-23,F2-L3,208.75,8.5,12.5,51.0,75.0,4.0931372549019605,after
2025-02-17/2025-02-23,F2-L3,240.72,8.5,12.5,51.0,75.0,4.72,before
2025-02-24/2025-03-02,F1-L1,231.15,13.6,20.0,81.6,120.0,2.8327205882352944,after
2025-02-24/2025-03-02,F1-L1,150.25,13.6,20.0,81.6,120.0,1.8412990196078434,before
2025-02-24/2025-03-02,F1-L2,444.62,20.4,30.0,122.39999999999999,180.0,3.6325163398692815,after
2025-02-24/2025-03-02,F1-L2,277.28,20.4,30.0,122.39999999999999,180.0,2.265359477124183,before
2025-02-24/2025-03-02,F1-L3,280.15999999999997,8.5,12.5,51.0,75.0,5.493333333333332,after
2025-02-24/2025-03-02,F1-L3,46.13,8.5,12.5,51.0,75.0,0.9045098039215687,before
2025-02-24/2025-03-02,F2-L1,86.64,20.4,30.0,122.39999999999999,180.0,0.707843137254902,after
2025-02-24/2025-03-02,F2-L1,150.96,20.4,30.0,122.39999999999999,180.0,1.2333333333333334,before
2025-02-24/2025-03-02,F2-L2,133.98999999999998,13.6,20.0,81.6,120.0,1.64203431372549,after
2025-02-24/2025-03-02,F2-L2,187.98,13.6,20.0,81.6,120.0,2.3036764705882353,before
2025-02-24/2025-03-02,F2-L3,108.58999999999999,8.5,12.5,51.0,75.0,2.1292156862745095,after
2025-02-24/2025-03-02,F2-L3,218.31,8.5,12.5,51.0,75.0,4.280588235294117,before
2025-03-03/2025-03-09,F1-L1,167.01,13.6,20.0,81.6,120.0,2.0466911764705884,after
2025-03-03/2025-03-09,F1-L1,193.81,13.6,20.0,81.6,120.0,2.375122549019608,before
2025-03-03/2025-03-09,F1-L2,246.86,20.4,30.0,122.39999999999999,180.0,2.0168300653594775,after
2025-03-03/2025-03-09,F1-L2,411.49,20.4,30.0,122.39999999999999,180.0,3.3618464052287584,before
2025-03-03/2025-03-09,F1-L3,334.89,8.5,12.5,51.0,75.0,6.566470588235294,after
2025-03-03/2025-03-09,F1-L3,428.12,8.5,12.5,51.0,75.0,8.394509803921569,before
2025-03-03/2025-03-09,F2-L1,88.55,20.4,30.0,122.39999999999999,180.0,0.7234477124183006,after
2025-03-03/2025-03-09,F2-L1,180.09,20.4,30.0,122.39999999999999,180.0,1.4713235294117648,before
2025-03-03/2025-03-09,F2-L2,213.62,13.6,20.0,81.6,120.0,2.6178921568627453,after
2025-03-03/2025-03-09,F2-L2,117.6,13.6,20.0,81.6,120.0,1.4411764705882353,before
2025-03-03/2025-03-09,F2-L3,130.95,8.5,12.5,51.0,75.0,2.567647058823529,after
2025-03-03/2025-03-09,F2-L3,257.77,8.5,12.5,51.0,75.0,5.0543137254901955,before
2025-03-10/2025-03-16,F1-L1,269.91999999999996,13.6,20.0,81.6,120.0,3.3078431372549018,after
2025-03-10/2025-03-16,F1-L1,288.0,13.6,20.0,81.6,120.0,3.5294117647058827,before
2025-03-10/2025-03-16,F1-L2,221.86,20.4,30.0,122.39999999999999,180.0,1.8125816993464055,after
2025-03-10/2025-03-16,F1-L2,440.76,20.4,30.0,122.39999999999999,180.0,3.600980392156863,before
2025-03-10/2025-03-16,F1-L3,95.36,8.5,12.5,51.0,75.0,1.8698039215686275,after
