week,produced_qty,rejected_qty,rework_qty,avg_cycle_time_min,p95_cycle_time_min,avg_waiting_min,inspections,fail_or_hold,defects_found_qty,shipments,avg_lateness_days,p95_lateness_days,demand_qty,orders,scenario
2024-12-30/2025-01-05,2822,35,8,309.14217679548614,1215.6244504399992,17.52929127894737,8,1,2,,,,1376.0,19.0,after
2024-12-30/2025-01-05,3812,108,20,590.8960484670635,3168.5017069708274,35.779371273737375,8,1,2,,,,2120.0,21.0,before
2025-01-06/2025-01-12,11683,126,38,366.38880433259493,1581.5611040991669,17.738114556265664,36,3,6,1.0,0.0,0.0,2626.0,31.0,after
2025-01-06/2025-01-12,11618,292,79,607.0249937179062,2768.9146067166666,32.26310006138614,16,2,27,3.0,0.0,0.0,2437.0,23.0,before
2025-01-13/2025-01-19,15490,208,62,479.09076350052084,1922.6887891133274,17.962515248737372,30,8,37,14.0,0.0,0.0,2290.0,23.0,after
2025-01-13/2025-01-19,20784,586,152,515.8583305655724,2484.6288149291545,32.680654247435896,35,6,60,10.0,1.2,2.0,2343.0,25.0,before
2025-01-20/2025-01-26,13912,171,55,390.6827177072043,1514.4459507416666,17.80641223778626,35,6,11,20.0,0.0,0.0,2535.0,27.0,after
2025-01-20/2025-01-26,14685,409,115,367.2330240728361,1639.76096925,36.8775566772043,37,10,66,17.0,0.058823529411764705,0.1999999999999993,2342.0,25.0,before
2025-01-27/2025-02-02,16216,191,59,469.6455426706214,2443.4277556733327,17.288498454304637,41,5,27,20.0,0.0,0.0,3242.0,27.0,after
2025-01-27/2025-02-02,15739,421,98,547.1763878210784,3123.940580200829,33.94427552174941,37,8,79,17.0,1.7647058823529411,4.0,3403.0,35.0,before
2025-02-03/2025-02-09,19519,237,65,571.2902286486355,2372.693007958333,17.84639948900709,37,6,16,24.0,0.0,0.0,3651.0,25.0,after
2025-02-03/2025-02-09,22025,600,144,536.5234864055078,2533.2915028599973,38.002181701295335,42,9,74,24.0,0.0,0.0,3684.0,30.0,before
2025-02-10/2025-02-16,22135,271,92,551.8874074406307,2868.637700799999,17.410859137820513,41,9,31,20.0,0.0,0.0,3255.0,30.0,after
2025-02-10/2025-02-16,22730,660,181,515.6178318546769,2301.3663936791663,35.703446714522414,35,11,124,18.0,0.0,0.0,2932.0,32.0,before
2025-02-17/2025-02-23,25280,305,101,389.00924556338583,1616.308394956666,17.2471047781106,60,9,30,22.0,0.2727272727272727,2.849999999999998,3830.0,36.0,after
2025-02-17/2025-02-23,18446,500,128,467.3359015558419,2626.9667941625,36.49467830798403,47,14,72,30.0,0.9666666666666667,3.0,2259.0,21.0,before
2025-02-24/2025-03-02,18879,203,65,499.3830127543762,2613.9699794149997,16.442133230132452,34,6,8,24.0,0.0,0.0,3721.0,29.0,after
2025-02-24/2025-03-02,15151,414,119,434.71269882031555,2055.1756977266664,34.01155600264367,39,12,63,32.0,0.375,2.799999999999997,2229.0,23.0,before
2025-03-03/2025-03-09,22239,282,85,453.8423848001773,2339.2461458033335,15.694525625316457,38,6,22,23.0,0.08695652173913043,0.0,2937.0,25.0,after
2025-03-03/2025-03-09,19042,550,124,627.0954444526163,3375.608339147496,37.67296768877315,22,4,29,19.0,0.21052631578947367,2.0,3562.0,26.0,before
2025-03-10/2025-03-16,20489,248,77,632.901516756225,2989.63965185,15.901050367018778,26,5,16,28.0,0.07142857142857142,0.6499999999999986,4369.0,29.0,after
2025-03-10/2025-03-16,20212,554,143,604.4419388890693,2617.7083896616664,33.08340339096692,28,7,55,18.0,0.8888888888888888,3.1499999999999986,4256.0,26.0,before
2025-03-17/2025-03-23,20348,260,68,710.223890392936,3892.5935969750003,16.534089929166665,26,7,22,24.0,0.0,0.0,2563.0,21.0,after
2025-03-17/2025-03-23,27935,781,194,727.8344927968137,3084.360783156666,35.2171371711501,33,5,21,21.0,0.0,0.0,3146.0,28.0,before
2025-03-24/2025-03-30,19319,215,90,422.73773476387225,1977.6774325283304,16.074800157990868,43,8,21,24.0,0.0,0.0,2581.0,22.0,after
2025-03-24/2025-03-30,18678,497,124,530.464444904762,2454.7153682175,32.09123832024691,37,11,62,20.0,0.0,0.0,3715.0,22.0,before
2025-03-31/2025-04-06,15753,221,56,588.1182862040768,2478.090651894999,17.558163072566373,29,5,32,22.0,0.0,0.0,3355.0,29.0,after
