order_id,customer_id,sku_id,order_date,due_date,demand_qty,priority,penalty_cost_late,scenario
SO00001,CUST0020,SKU0005,2025-01-10,2025-01-23,74,Std,21.08,before
SO00002,CUST0026,SKU0030,2025-03-31,2025-04-25,37,Std,9.16,before
SO00003,CUST0012,SKU0024,2025-01-19,2025-02-05,67,Std,16.3,before
SO00004,CUST0040,SKU0001,2025-05-08,2025-05-27,59,Std,7.85,before
SO00005,CUST0020,SKU0025,2025-06-07,2025-06-24,102,Std,5.77,before
SO00006,CUST0013,SKU0007,2025-01-02,2025-01-21,135,Std,11.07,before
SO00007,CUST0029,SKU0018,2025-05-23,2025-06-04,191,Std,12.98,before
SO00008,CUST0035,SKU0012,2025-05-23,2025-06-05,118,Expedite,18.64,before
SO00009,CUST0008,SKU0021,2025-02-12,2025-03-03,54,Std,10.85,before
SO00010,CUST0006,SKU0005,2025-02-05,2025-03-02,33,Std,6.76,before
SO00011,CUST0030,SKU0020,2025-04-13,2025-04-24,77,Launch,10.21,before
SO00012,CUST0014,SKU0010,2025-06-06,2025-06-20,91,Std,18.04,before
SO00013,CUST0040,SKU0021,2025-06-17,2025-07-01,36,Std,7.72,before
SO00014,CUST0027,SKU0017,2025-02-01,2025-02-17,66,Std,16.65,before
SO00015,CUST0018,SKU0018,2025-03-05,2025-03-20,61,Expedite,12.88,before
SO00016,CUST0007,SKU0026,2025-03-25,2025-04-08,126,Launch,12.38,before
SO00017,CUST0008,SKU0028,2025-01-31,2025-02-22,45,Std,13.69,before
SO00018,CUST0007,SKU0002,2025-01-19,2025-02-08,39,Std,8.05,before
SO00019,CUST0038,SKU0021,2025-01-26,2025-02-22,42,Std,5.43,before
SO00020,CUST0025,SKU0015,2025-05-14,2025-06-06,97,Std,20.94,before
SO00021,CUST0040,SKU0004,2025-04-10,2025-04-22,212,Std,19.98,before
SO00022,CUST0002,SKU0025,2025-05-30,2025-06-15,174,Expedite,22.33,before
SO00023,CUST0025,SKU0030,2025-03-01,2025-03-20,110,Std,9.1,before
SO00024,CUST0008,SKU0027,2025-02-09,2025-02-18,121,Std,10.24,before
SO00025,CUST0014,SKU0021,2025-02-21,2025-03-16,67,Launch,17.48,before
SO00026,CUST0031,SKU0025,2025-02-03,2025-02-22,100,Expedite,10.15,before
SO00027,CUST0003,SKU0010,2025-02-02,2025-02-19,106,Std,10.93,before
SO00028,CUST0023,SKU0011,2025-04-27,2025-05-15,189,Std,23.22,before
SO00029,CUST0030,SKU0016,2025-04-18,2025-05-01,124,Launch,11.44,before
SO00030,CUST0019,SKU0002,2025-04-28,2025-05-10,356,Std,12.85,before
SO00031,CUST0008,SKU0008,2025-04-02,2025-04-28,72,Std,14.79,before
SO00032,CUST0020,SKU0025,2025-04-07,2025-04-25,153,Launch,18.89,before
SO00033,CUST0034,SKU0023,2025-03-16,2025-04-03,240,Std,9.64,before
SO00034,CUST0016,SKU0012,2025-04-18,2025-05-11,70,Std,8.58,before
SO00035,CUST0013,SKU0020,2025-05-19,2025-06-07,97,Expedite,10.37,before
SO00036,CUST0015,SKU0001,2025-02-07,2025-02-25,63,Expedite,13.97,before
SO00037,CUST0014,SKU0018,2025-03-11,2025-04-02,249,Std,12.93,before
SO00038,CUST0009,SKU0024,2025-02-15,2025-02-24,68,Expedite,8.44,before
SO00039,CUST0020,SKU0021,2025-05-01,2025-05-14,122,Std,6.77,before
SO00040,CUST0026,SKU0028,2025-04-03,2025-04-30,73,Expedite,11.9,before
SO00041,CUST0025,SKU0002,2025-05-10,2025-05-28,67,Std,17.46,before
SO00042,CUST0005,SKU0008,2025-01-12,2025-01-31,59,Std,6.19,before
SO00043,CUST0037,SKU0021,2025-03-14,2025-03-21,52,Std,7.86,before
SO00044,CUST0039,SKU0029,2025-04-09,2025-04-29,41,Std,9.08,before
SO00045,CUST0017,SKU0010,2025-05-07,2025-05-27,123,Std,9.05,before
SO00046,CUST0039,SKU0023,2025-04-06,2025-05-06,227,Std,24.53,before
SO00047,CUST0017,SKU0011,2025-02-16,2025-02-28,90,Std,8.74,before
SO00048,CUST0007,SKU0020,2025-04-08,2025-04-28,196,Std,20.08,before
SO00049,CUST0038,SKU0015,2025-05-01,2025-05-13,141,Std,13.89,before
SO00050,CUST0040,SKU0026,2025-06-24,2025-07-18,145,Expedite,14.98,before
SO00051,CUST0034,SKU0011,2025-05-12,2025-05-29,67,Expedite,10.86,before
SO00052,CUST0017,SKU0012,2025-06-13,2025-07-05,95,Expedite,19.62,before
SO00053,CUST0029,SKU0027,2025-06-19,2025-07-09,116,Expedite,23.73,before
SO00054,CUST0023,SKU0003,2025-01-08,2025-01-28,20,Launch,18.37,before
SO00055,CUST0032,SKU0004,2025-02-10,2025-02-28,46,Expedite,12.77,before
SO00056,CUST0015,SKU0006,2025-03-15,2025-04-05,53,Std,25.13,before
SO00057,CUST0002,SKU0019,2025-02-02,2025-03-04,102,Std,38.35,before
SO00058,CUST0021,SKU0023,2025-02-26,2025-03-14,95,Std,9.42,before
SO00059,CUST0023,SKU0020,2025-03-18,2025-04-07,82,Std,18.64,before
SO00060,CUST0006,SKU0029,2025-05-20,2025-06-12,57,Std,14.71,before
SO00061,CUST0001,SKU0003,2025-03-20,2025-04-12,115,Expedite,12.35,before
SO00062,CUST0029,SKU0002,2025-01-21,2025-02-05,92,Expedite,8.58,before
SO00063,CUST0010,SKU0005,2025-04-20,2025-05-05,159,Std,12.87,before
SO00064,CUST0018,SKU0018,2025-05-10,2025-05-30,103,Std,18.37,before
SO00065,CUST0020,SKU0024,2025-03-05,2025-03-18,145,Std,8.66,before
SO00066,CUST0031,SKU0016,2025-06-20,2025-07-05,94,Std,15.7,before
