po_id,supplier_id,material_id,order_date,ordered_qty,unit_cost,expected_delivery_date,received_date,scenario
PO00001,SUP008,MAT0009,2025-04-07,1614,17.49,2025-04-10,2025-04-10,before
PO00002,SUP001,MAT0001,2025-06-12,730,11.8,2025-06-21,2025-06-21,before
PO00003,SUP001,MAT0006,2025-03-17,471,4.84,2025-03-30,2025-03-30,before
PO00004,SUP006,MAT0014,2025-02-21,1040,16.02,2025-03-01,2025-03-01,before
PO00005,SUP006,MAT0003,2025-05-12,1065,12.23,2025-05-24,2025-05-24,before
PO00006,SUP002,MAT0015,2025-01-09,799,11.44,2025-01-13,2025-01-13,before
PO00007,SUP001,MAT0003,2025-01-05,858,8.89,2025-01-16,2025-01-16,before
PO00008,SUP008,MAT0012,2025-04-08,1132,5.94,2025-04-13,2025-04-13,before
PO00009,SUP008,MAT0007,2025-04-24,2116,10.96,2025-05-03,2025-05-03,before
PO00010,SUP002,MAT0015,2025-02-10,1092,11.44,2025-02-14,2025-02-14,before
PO00011,SUP002,MAT0007,2025-03-07,616,8.17,2025-03-18,2025-03-18,before
PO00012,SUP009,MAT0005,2025-01-31,436,9.74,2025-02-04,2025-02-04,before
PO00013,SUP011,MAT0018,2025-06-05,605,8.49,2025-06-10,2025-06-10,before
PO00014,SUP009,MAT0015,2025-01-02,1688,11.78,2025-01-07,2025-01-07,before
PO00015,SUP005,MAT0016,2025-01-15,1386,15.84,2025-01-25,2025-01-25,before
PO00016,SUP007,MAT0005,2025-01-26,1500,7.81,2025-02-05,2025-02-05,before
PO00017,SUP009,MAT0005,2025-01-01,1553,9.74,2025-01-05,2025-01-05,before
PO00018,SUP001,MAT0002,2025-02-25,754,10.52,2025-03-05,2025-03-05,before
PO00019,SUP002,MAT0015,2025-03-28,1194,11.44,2025-04-01,2025-04-01,before
PO00020,SUP007,MAT0005,2025-02-27,3921,7.81,2025-03-09,2025-03-09,before
PO00021,SUP003,MAT0003,2025-03-26,1794,6.9,2025-04-10,2025-04-10,before
PO00022,SUP009,MAT0002,2025-03-25,1218,9.62,2025-04-02,2025-04-02,before
PO00023,SUP002,MAT0008,2025-04-30,993,9.55,2025-05-05,2025-05-05,before
PO00024,SUP001,MAT0005,2025-01-11,1000,16.93,2025-01-18,2025-01-18,before
PO00025,SUP009,MAT0002,2025-05-23,1063,9.62,2025-05-31,2025-05-31,before
PO00026,SUP008,MAT0004,2025-04-05,3429,7.81,2025-04-14,2025-04-14,before
PO00027,SUP011,MAT0018,2025-01-13,658,8.49,2025-01-18,2025-01-18,before
PO00028,SUP002,MAT0015,2025-02-09,643,11.44,2025-02-13,2025-02-13,before
PO00029,SUP008,MAT0010,2025-01-18,1108,10.17,2025-01-21,2025-01-21,before
PO00030,SUP007,MAT0009,2025-03-31,1774,22.53,2025-04-10,2025-04-10,before
PO00031,SUP012,MAT0017,2025-01-17,2029,7.42,2025-01-29,2025-01-29,before
PO00032,SUP004,MAT0004,2025-05-25,2439,15.03,2025-06-02,2025-06-02,before
PO00033,SUP003,MAT0006,2025-01-04,1184,4.47,2025-01-21,2025-01-21,before
PO00034,SUP002,MAT0015,2025-03-25,1443,11.44,2025-03-29,2025-03-29,before
PO00035,SUP005,MAT0017,2025-02-11,611,10.22,2025-02-26,2025-02-26,before
