inspection_id,event_id,work_order_id,sku_id,factory_id,production_line_id,inspection_time,inspector_id,inspection_stage,qty_checked,result,defect_code,defects_found_qty,scenario
QI000001,EV0002947,WO000439,SKU0030,F1,F1-L1,2025-04-27 12:56:47.866827,INSP011,QC_FINAL,50,PASS,,0,before
QI000002,EV0004738,WO000701,SKU0022,F1,F1-L2,2025-07-04 05:42:49.978883,INSP014,QC_INLINE,9,PASS,,0,before
QI000003,EV0001345,WO000202,SKU0013,F1,F1-L2,2025-02-25 09:14:00.522728,INSP003,QC_INLINE,66,FAIL,WRINKLE,12,before
QI000004,EV0000750,WO000113,SKU0001,F1,F1-L3,2025-02-05 02:15:55.304741,INSP003,FINISH,40,PASS,,0,before
QI000005,EV0000783,WO000118,SKU0007,F1,F1-L1,2025-02-04 10:51:42.990811,INSP015,QC_INLINE,43,PASS,,0,before
QI000006,EV0003552,WO000528,SKU0002,F1,F1-L2,2025-05-20 18:35:11.514235,INSP006,QC_FINAL,76,PASS,,0,before
QI000007,EV0000407,WO000061,SKU0016,F2,F2-L1,2025-01-25 23:43:15.639295,INSP017,QC_FINAL,44,PASS,,0,before
QI000008,EV0004748,WO000702,SKU0020,F2,F2-L3,2025-07-02 20:30:51.681995,INSP009,QC_FINAL,54,PASS,,0,before
QI000009,EV0003690,WO000548,SKU0020,F2,F2-L3,2025-05-23 23:13:14.305241,INSP006,QC_FINAL,33,PASS,,0,before
QI000010,EV0003900,WO000579,SKU0014,F1,F1-L2,2025-06-04 22:18:15.766177,INSP004,FINISH,13,PASS,,0,before
QI000011,EV0003273,WO000486,SKU0002,F1,F1-L3,2025-05-08 07:40:46.293963,INSP010,PACK,12,PASS,,0,before
QI000012,EV0004703,WO000696,SKU0005,F2,F2-L3,2025-06-27 01:24:15.862208,INSP013,REWORK,5,PASS,,0,before
QI000013,EV0003671,WO000545,SKU0013,F1,F1-L2,2025-05-27 14:12:20.558229,INSP015,QC_FINAL,108,FAIL,SEAM_SKIP,14,before
QI000014,EV0002870,WO000428,SKU0012,F2,F2-L2,2025-04-28 19:11:24.969318,INSP006,QC_INLINE,189,PASS,,0,before
QI000015,EV0001785,WO000267,SKU0005,F2,F2-L3,2025-03-19 12:25:32.351255,INSP014,SEW,47,PASS,,0,before
QI000016,EV0000821,WO000123,SKU0009,F1,F1-L3,2025-02-07 09:17:33.723378,INSP010,PACK,142,PASS,,0,before
QI000017,EV0001140,WO000171,SKU0028,F2,F2-L3,2025-02-23 00:41:24.798296,INSP015,PACK,85,HOLD,LABEL_WRONG,7,before
QI000018,EV0003247,WO000483,SKU0024,F1,F1-L2,2025-05-09 10:03:51.052181,INSP005,QC_INLINE,147,PASS,,0,before
QI000019,EV0000117,WO000018,SKU0005,F2,F2-L3,2025-01-07 09:24:46.233623,INSP010,QC_INLINE,16,PASS,,0,before
QI000020,EV0001872,WO000280,SKU0009,F1,F1-L2,2025-03-16 15:47:50.667837,INSP004,QC_INLINE,11,FAIL,PRINT_MISALIGN,1,before
QI000021,EV0002000,WO000299,SKU0016,F2,F2-L2,2025-03-23 10:10:13.572046,INSP013,QC_INLINE,157,FAIL,THREAD_BREAK,11,before
QI000022,EV0002694,WO000401,SKU0017,F2,F2-L2,2025-04-18 05:09:39.251481,INSP010,QC_FINAL,107,FAIL,SEAM_SKIP,16,before
QI000023,EV0000798,WO000120,SKU0026,F2,F2-L1,2025-02-05 20:28:14.378362,INSP008,FINISH,107,FAIL,THREAD_BREAK,8,before
QI000024,EV0001067,WO000161,SKU0009,F1,F1-L2,2025-02-16 01:27:21.196230,INSP009,QC_INLINE,156,FAIL,LABEL_WRONG,22,before
QI000025,EV0000672,WO000101,SKU0019,F2,F2-L3,2025-01-29 23:10:08.648069,INSP007,QC_FINAL,55,PASS,,0,before
QI000026,EV0004571,WO000676,SKU0009,F1,F1-L1,2025-06-26 19:26:30.118462,INSP009,QC_FINAL,41,FAIL,SEAM_SKIP,5,before
QI000027,EV0001393,WO000209,SKU0019,F2,F2-L2,2025-02-26 12:33:42.159766,INSP001,QC_INLINE,7,FAIL,STAIN,1,before
QI000028,EV0002184,WO000326,SKU0002,F1,F1-L1,2025-03-26 01:35:29.890218,INSP013,PACK,89,PASS,,0,before
QI000029,EV0003682,WO000547,SKU0001,F1,F1-L2,2025-05-22 03:32:16.562340,INSP017,QC_INLINE,11,PASS,,0,before
QI000030,EV0000265,WO000040,SKU0005,F2,F2-L1,2025-01-18 11:54:41.493216,INSP001,QC_FINAL,32,PASS,,0,before
QI000031,EV0001170,WO000176,SKU0009,F1,F1-L1,2025-02-19 15:42:09.482040,INSP008,QC_FINAL,50,PASS,,0,before
QI000032,EV0000307,WO000046,SKU0015,F1,F1-L1,2025-01-18 11:36:25.694429,INSP013,QC_FINAL,82,PASS,,0,before
QI000033,EV0002656,WO000396,SKU0006,F2,F2-L1,2025-04-13 14:08:34.847209,INSP015,REWORK,5,FAIL,THREAD_BREAK,1,before
QI000034,EV0004329,WO000641,SKU0012,F2,F2-L3,2025-06-22 17:19:21.956214,INSP018,CUT,82,FAIL,SEAM_SKIP,2,before
QI000035,EV0000056,WO000009,SKU0001,F1,F1-L1,2025-01-04 23:43:05.830557,INSP008,QC_INLINE,56,PASS,,0,before
QI000036,EV0002228,WO000333,SKU0019,F2,F2-L1,2025-04-01 06:28:28.580632,INSP005,QC_INLINE,17,PASS,,0,before
QI000037,EV0001895,WO000283,SKU0011,F1,F1-L3,2025-03-26 21:54:40.138785,INSP014,QC_FINAL,102,PASS,,0,before
QI000038,EV0003234,WO000481,SKU0011,F1,F1-L1,2025-05-08 03:29:56.940242,INSP013,QC_INLINE,205,FAIL,LABEL_WRONG,25,before
QI000039,EV0000149,WO000022,SKU0009,F1,F1-L2,2025-01-15 11:54:01.370032,INSP014,PACK,52,FAIL,PRINT_MISALIGN,3,before
QI000040,EV0003208,WO000477,SKU0005,F2,F2-L1,2025-05-04 14:48:18.006792,INSP015,QC_FINAL,6,PASS,,0,before
QI000041,EV0001054,WO000159,SKU0025,F1,F1-L2,2025-02-17 11:54:51.963523,INSP012,QC_INLINE,127,PASS,,0,before
QI000042,EV0002960,WO000441,SKU0025,F1,F1-L3,2025-05-02 21:59:01.839766,INSP008,QC_INLINE,56,FAIL,LABEL_WRONG,7,before
QI000043,EV0000394,WO000059,SKU0013,F1,F1-L2,2025-01-23 18:02:28.141853,INSP004,FINISH,44,PASS,,0,before
QI000044,EV0001615,WO000241,SKU0015,F1,F1-L2,2025-03-09 08:33:52.262723,INSP017,QC_FINAL,122,PASS,,0,before
QI000045,EV0004810,WO000711,SKU0002,F1,F1-L2,2025-07-05 08:03:24.511559,INSP018,PACK,32,FAIL,STAIN,4,before
QI000046,EV0003715,WO000552,SKU0029,F1,F1-L1,2025-05-23 21:59:35.192803,INSP009,SEW,50,PASS,,0,before
QI000047,EV0002443,WO000364,SKU0029,F1,F1-L1,2025-04-08 18:22:56.661534,INSP002,QC_FINAL,16,PASS,,0,before
QI000048,EV0000202,WO000031,SKU0019,F2,F2-L2,2025-01-12 17:21:39.600277,INSP011,CUT,5,PASS,,0,before
QI000049,EV0002619,WO000391,SKU0028,F2,F2-L3,2025-04-17 14:09:10.931912,INSP007,SEW,25,FAIL,LABEL_WRONG,3,before
QI000050,EV0001444,WO000216,SKU0008,F2,F2-L3,2025-02-28 16:36:23.326755,INSP009,QC_FINAL,46,PASS,,0,before
QI000051,EV0000428,WO000065,SKU0008,F2,F2-L2,2025-01-23 16:17:19.938094,INSP001,CUT,42,PASS,,0,before
QI000052,EV0001162,WO000175,SKU0017,F2,F2-L2,2025-02-18 08:18:05.391977,INSP005,FINISH,57,PASS,,0,before
QI000053,EV0001380,WO000207,SKU0021,F2,F2-L3,2025-02-26 16:38:30.438238,INSP018,QC_INLINE,13,PASS,,0,before
QI000054,EV0001431,WO000214,SKU0016,F2,F2-L3,2025-03-02 08:19:02.985478,INSP018,PACK,67,FAIL,MEASURE_OOS,4,before
QI000055,EV0004054,WO000601,SKU0014,F1,F1-L1,2025-06-05 04:27:18.077088,INSP015,QC_FINAL,34,PASS,,0,before
QI000056,EV0003964,WO000588,SKU0002,F1,F1-L2,2025-06-04 13:31:39.441711,INSP011,QC_FINAL,65,PASS,,0,before
