shipment_id,from_node,to_node,sku_id,ship_date,planned_delivery_date,actual_delivery_date,carrier,mode,route_lane_id,shipped_qty,freight_cost,priority_bucket,scenario
SH000001,WH_SOUTH,DC_HCMC,SKU0006,2025-01-09,2025-01-10,2025-01-10,CarrierC,Road,WH_SOUTH->DC_HCMC:Road,106,13.24,Std,before
SH000002,WH_SOUTH,DC_HCMC,SKU0014,2025-01-09,2025-01-10,2025-01-10,CarrierB,Road,WH_SOUTH->DC_HCMC:Road,77,9.87,Std,before
SH000003,WH_NORTH,DC_HN,SKU0001,2025-01-07,2025-01-08,2025-01-08,CarrierA,Road,WH_NORTH->DC_HN:Road,48,6.79,Std,before
SH000004,WH_NORTH,DC_DN,SKU0010,2025-01-15,2025-01-17,2025-01-17,CarrierA,Road,WH_NORTH->DC_DN:Road,153,33.74,Expedite,before
SH000005,WH_NORTH,DC_DN,SKU0030,2025-01-14,2025-01-16,2025-01-18,CarrierB,Road,WH_NORTH->DC_DN:Road,96,20.4,Std,before
SH000006,WH_NORTH,DC_DN,SKU0005,2025-01-14,2025-01-16,2025-01-18,CarrierA,Road,WH_NORTH->DC_DN:Road,32,7.31,Std,before
SH000007,WH_SOUTH,DC_HCMC,SKU0020,2025-01-15,2025-01-16,2025-01-16,CarrierA,Road,WH_SOUTH->DC_HCMC:Road,81,10.02,Std,before
SH000008,WH_SOUTH,DC_HCMC,SKU0028,2025-01-15,2025-01-16,2025-01-16,CarrierA,Road,WH_SOUTH->DC_HCMC:Road,57,7.4,Std,before
SH000009,WH_NORTH,DC_HN,SKU0013,2025-01-13,2025-01-14,2025-01-14,CarrierA,Road,WH_NORTH->DC_HN:Road,64,9.03,Expedite,before
SH000010,WH_NORTH,DC_HN,SKU0013,2025-01-15,2025-01-16,2025-01-18,CarrierA,Road,WH_NORTH->DC_HN:Road,160,19.88,Std,before
SH000011,WH_NORTH,DC_HN,SKU0029,2025-01-15,2025-01-16,2025-01-18,CarrierB,Road,WH_NORTH->DC_HN:Road,59,7.14,Std,before
SH000012,WH_NORTH,DC_HN,SKU0019,2025-01-15,2025-01-16,2025-01-18,CarrierA,Road,WH_NORTH->DC_HN:Road,47,5.99,Std,before
SH000013,WH_NORTH,DC_HN,SKU0014,2025-01-15,2025-01-16,2025-01-18,CarrierB,Road,WH_NORTH->DC_HN:Road,42,5.6,Std,before
SH000014,WH_SOUTH,DC_CT,SKU0009,2025-01-23,2025-01-24,2025-01-24,CarrierB,Road,WH_SOUTH->DC_CT:Road,217,33.87,Expedite,before
SH000015,WH_SOUTH,DC_CT,SKU0004,2025-01-23,2025-01-24,2025-01-24,CarrierA,Road,WH_SOUTH->DC_CT:Road,176,28.0,Expedite,before
SH000016,WH_SOUTH,DC_CT,SKU0028,2025-01-21,2025-01-22,2025-01-22,CarrierA,Road,WH_SOUTH->DC_CT:Road,135,18.01,Std,before
SH000017,WH_SOUTH,DC_CT,SKU0018,2025-01-21,2025-01-22,2025-01-22,CarrierA,Road,WH_SOUTH->DC_CT:Road,94,15.51,Std,before
SH000018,WH_NORTH,DC_DN,SKU0023,2025-01-20,2025-01-22,2025-01-22,CarrierA,Road,WH_NORTH->DC_DN:Road,215,45.84,Std,before
SH000019,WH_NORTH,DC_DN,SKU0009,2025-01-20,2025-01-22,2025-01-22,CarrierC,Road,WH_NORTH->DC_DN:Road,139,32.69,Std,before
SH000020,WH_NORTH,DC_DN,SKU0005,2025-01-20,2025-01-22,2025-01-22,CarrierA,Road,WH_NORTH->DC_DN:Road,61,11.76,Std,before
SH000021,WH_NORTH,DC_DN,SKU0018,2025-01-20,2025-01-22,2025-01-22,CarrierC,Road,WH_NORTH->DC_DN:Road,69,13.69,Std,before
SH000022,WH_SOUTH,DC_HCMC,SKU0007,2025-01-21,2025-01-22,2025-01-22,CarrierA,Road,WH_SOUTH->DC_HCMC:Road,341,44.11,Std,before
SH000023,WH_SOUTH,DC_HCMC,SKU0027,2025-01-21,2025-01-22,2025-01-22,CarrierA,Road,WH_SOUTH->DC_HCMC:Road,246,30.81,Std,before
SH000024,WH_SOUTH,DC_HCMC,SKU0017,2025-01-21,2025-01-22,2025-01-22,CarrierA,Road,WH_SOUTH->DC_HCMC:Road,153,17.34,Std,before
SH000025,WH_SOUTH,DC_HCMC,SKU0012,2025-01-21,2025-01-22,2025-01-22,CarrierB,Road,WH_SOUTH->DC_HCMC:Road,126,15.1,Std,before
SH000026,WH_SOUTH,DC_HCMC,SKU0005,2025-01-21,2025-01-22,2025-01-22,CarrierA,Road,WH_SOUTH->DC_HCMC:Road,47,5.58,Std,before
SH000027,WH_NORTH,DC_HN,SKU0021,2025-01-21,2025-01-22,2025-01-23,CarrierA,Road,WH_NORTH->DC_HN:Road,40,5.38,Launch,before
SH000028,WH_NORTH,DC_HN,SKU0006,2025-01-23,2025-01-24,2025-01-24,CarrierB,Road,WH_NORTH->DC_HN:Road,302,36.15,Std,before
SH000029,WH_NORTH,DC_HN,SKU0007,2025-01-23,2025-01-24,2025-01-24,CarrierA,Road,WH_NORTH->DC_HN:Road,74,9.79,Std,before
SH000030,WH_NORTH,DC_HN,SKU0019,2025-01-23,2025-01-24,2025-01-24,CarrierB,Road,WH_NORTH->DC_HN:Road,57,7.97,Std,before
SH000031,WH_SOUTH,DC_CT,SKU0030,2025-01-30,2025-01-31,2025-01-31,CarrierA,Road,WH_SOUTH->DC_CT:Road,218,33.14,Std,before
