work_order_id,sales_order_id,sku_id,factory_id,planned_qty,planned_start_date,scenario
WO000001,SO00587,SKU0006,F2,114,2025-01-05,before
WO000002,SO00290,SKU0013,F1,74,2025-01-03,before
WO000003,SO00668,SKU0028,F2,169,2025-01-05,before
WO000004,SO00519,SKU0023,F1,254,2025-01-04,before
WO000005,SO00289,SKU0013,F1,85,2025-01-05,before
WO000006,SO00145,SKU0005,F2,63,2025-01-08,before
WO000007,SO00564,SKU0014,F1,52,2025-01-06,before
WO000008,SO00006,SKU0007,F1,140,2025-01-08,before
WO000009,SO00562,SKU0001,F1,62,2025-01-03,before
WO000010,SO00550,SKU0020,F2,99,2025-01-03,before
WO000011,SO00569,SKU0029,F1,63,2025-01-04,before
WO000012,SO00242,SKU0006,F2,147,2025-01-06,before
WO000013,SO00498,SKU0009,F1,249,2025-01-12,before
WO000014,SO00405,SKU0018,F1,129,2025-01-04,before
WO000015,SO00354,SKU0028,F2,64,2025-01-09,before
WO000016,SO00415,SKU0014,F1,89,2025-01-08,before
WO000017,SO00094,SKU0013,F1,105,2025-01-08,before
WO000018,SO00179,SKU0005,F2,38,2025-01-06,before
WO000019,SO00371,SKU0019,F2,64,2025-01-10,before
WO000020,SO00575,SKU0009,F1,82,2025-01-08,before
WO000021,SO00681,SKU0012,F2,151,2025-01-07,before
WO000022,SO00071,SKU0009,F1,167,2025-01-12,before
WO000023,SO00437,SKU0006,F2,239,2025-01-09,before
WO000024,SO00676,SKU0007,F1,85,2025-01-10,before
WO000025,SO00553,SKU0010,F1,174,2025-01-12,before
WO000026,SO00484,SKU0020,F2,98,2025-01-12,before
WO000027,SO00280,SKU0004,F1,209,2025-01-16,before
WO000028,SO00601,SKU0005,F2,95,2025-01-12,before
WO000029,SO00054,SKU0003,F2,23,2025-01-14,before
WO000030,SO00640,SKU0027,F2,277,2025-01-13,before
WO000031,SO00222,SKU0019,F2,69,2025-01-12,before
WO000032,SO00451,SKU0021,F2,42,2025-01-13,before
WO000033,SO00367,SKU0030,F1,157,2025-01-14,before
WO000034,SO00414,SKU0016,F2,43,2025-01-15,before
WO000035,SO00664,SKU0030,F1,104,2025-01-14,before
WO000036,SO00276,SKU0017,F2,165,2025-01-14,before
WO000037,SO00654,SKU0027,F2,100,2025-01-14,before
WO000038,SO00069,SKU0020,F2,74,2025-01-10,before
WO000039,SO00275,SKU0010,F1,77,2025-01-13,before
WO000040,SO00001,SKU0005,F2,80,2025-01-16,before
WO000041,SO00686,SKU0027,F2,37,2025-01-15,before
WO000042,SO00042,SKU0008,F2,63,2025-01-18,before
WO000043,SO00696,SKU0016,F2,175,2025-01-14,before
WO000044,SO00580,SKU0018,F1,84,2025-01-19,before
WO000045,SO00102,SKU0018,F1,137,2025-01-13,before
WO000046,SO00266,SKU0015,F1,146,2025-01-15,before
WO000047,SO00144,SKU0025,F1,104,2025-01-15,before
WO000048,SO00133,SKU0024,F1,112,2025-01-17,before
WO000049,SO00260,SKU0028,F2,88,2025-01-17,before
WO000050,SO00574,SKU0022,F1,77,2025-01-16,before
WO000051,SO00294,SKU0015,F1,92,2025-01-14,before
WO000052,SO00662,SKU0009,F1,133,2025-01-20,before
WO000053,SO00314,SKU0007,F1,256,2025-01-17,before
WO000054,SO00607,SKU0022,F1,59,2025-01-18,before
WO000055,SO00087,SKU0030,F1,66,2025-01-17,before
WO000056,SO00101,SKU0016,F2,103,2025-01-19,before
WO000057,SO00236,SKU0023,F1,142,2025-01-20,before
WO000058,SO00388,SKU0008,F2,65,2025-01-16,before
WO000059,SO00286,SKU0013,F1,56,2025-01-22,before
WO000060,SO00193,SKU0018,F1,32,2025-01-21,before
WO000061,SO00147,SKU0016,F2,69,2025-01-24,before
WO000062,SO00500,SKU0007,F1,47,2025-01-22,before
WO000063,SO00540,SKU0018,F1,72,2025-01-22,before
WO000064,SO00095,SKU0028,F2,27,2025-01-22,before
WO000065,SO00078,SKU0008,F2,80,2025-01-23,before
WO000066,SO00018,SKU0002,F1,42,2025-01-21,before
WO000067,SO00182,SKU0020,F2,79,2025-01-20,before
WO000068,SO00003,SKU0024,F1,70,2025-01-25,before
WO000069,SO00142,SKU0013,F1,185,2025-01-19,before
WO000070,SO00142,SKU0013,F1,184,2025-01-19,before
WO000071,SO00252,SKU0014,F1,41,2025-01-25,before
WO000072,SO00104,SKU0015,F1,48,2025-01-24,before
WO000073,SO00062,SKU0002,F1,105,2025-01-24,before
WO000074,SO00642,SKU0015,F1,315,2025-01-23,before
WO000075,SO00244,SKU0004,F1,122,2025-01-25,before
WO000076,SO00584,SKU0002,F1,92,2025-01-25,before
WO000077,SO00503,SKU0004,F1,53,2025-01-21,before
WO000078,SO00208,SKU0020,F2,75,2025-01-21,before
WO000079,SO00626,SKU0004,F1,89,2025-01-22,before
WO000080,SO00299,SKU0005,F2,114,2025-01-27,before
WO000081,SO00483,SKU0020,F2,121,2025-01-23,before
WO000082,SO00568,SKU0011,F1,22,2025-01-24,before
WO000083,SO00240,SKU0005,F2,168,2025-01-28,before
