week,transport_cost,unmet_units,week_dt
2025-01-06,18.270000000000003,80.00000000000001,2025-01-06
2025-01-13,79.47999999999998,247.00000000000006,2025-01-13
2025-01-20,316.17,420,2025-01-20
2025-01-27,209.65,234.0000000000001,2025-01-27
2025-02-03,187.18,553,2025-02-03
2025-02-10,219.09,390.0000000000001,2025-02-10
2025-02-17,479.86,495.0000000000002,2025-02-17
2025-02-24,316.54999999999995,1167.0000000000002,2025-02-24
2025-03-03,395.21000000000004,609.0000000000001,2025-03-03
2025-03-10,202.70999999999998,905.0000000000002,2025-03-10
2025-03-17,432.57000000000005,245.99999999999983,2025-03-17
2025-03-24,304.80000000000007,135.99999999999994,2025-03-24
2025-03-31,331.53000000000003,858,2025-03-31
2025-04-07,337.81,571,2025-04-07
2025-04-14,397.77000000000004,657,2025-04-14
2025-04-21,568.9200000000001,601.0000000000002,2025-04-21
2025-04-28,617.07,0,2025-04-28
2025-05-05,333.31,483.0000000000001,2025-05-05
2025-05-12,387.35,906.0000000000002,2025-05-12
2025-05-19,359.30000000000007,258.00000000000006,2025-05-19
2025-05-26,442.93,689.0000000000002,2025-05-26
2025-06-02,339.13,1026,2025-06-02
2025-06-09,424.61,310,2025-06-09
2025-06-16,242.48000000000002,318.9999999999999,2025-06-16
2025-06-23,414.70000000000005,0,2025-06-23
2025-06-30,316.73,226,2025-06-30
2025-07-07,458.24,456.0000000000001,2025-07-07
2025-07-14,241.73000000000002,384.9999999999999,2025-07-14
2025-07-21,12.81,0,2025-07-21
2025-07-28,34.32,0,2025-07-28
