w,s,l,pos,week,sku_id,production_line_id,planned_qty
1,1,1,1,2025-01-06,SKU0001,F1-L1,56
1,6,4,34,2025-01-06,SKU0006,F2-L1,105
1,14,1,79,2025-01-06,SKU0014,F1-L1,80
2,5,4,208,2025-01-13,SKU0005,F2-L1,36
2,10,1,235,2025-01-13,SKU0010,F1-L1,157
2,14,1,259,2025-01-13,SKU0014,F1-L1,46
2,19,4,292,2025-01-13,SKU0019,F2-L1,57
2,20,4,298,2025-01-13,SKU0020,F2-L1,90
2,28,4,346,2025-01-13,SKU0028,F2-L1,59
2,29,1,349,2025-01-13,SKU0029,F1-L1,61
2,30,1,355,2025-01-13,SKU0030,F1-L1,99
3,4,1,379,2025-01-20,SKU0004,F1-L1,112
3,4,2,380,2025-01-20,SKU0004,F1-L2,81
3,5,4,388,2025-01-20,SKU0005,F2-L1,130
3,6,4,394,2025-01-20,SKU0006,F2-L1,350
3,7,1,397,2025-01-20,SKU0007,F1-L1,455
3,9,1,409,2025-01-20,SKU0009,F1-L1,374
3,12,4,430,2025-01-20,SKU0012,F2-L1,143
3,17,4,460,2025-01-20,SKU0017,F2-L1,155
3,18,1,463,2025-01-20,SKU0018,F1-L1,185
3,19,4,472,2025-01-20,SKU0019,F2-L1,66
3,23,1,493,2025-01-20,SKU0023,F1-L1,231
3,27,4,520,2025-01-20,SKU0027,F2-L1,263
3,28,4,526,2025-01-20,SKU0028,F2-L1,160
4,3,4,556,2025-01-27,SKU0003,F2-L1,20
4,5,4,568,2025-01-27,SKU0005,F2-L1,85
4,8,4,586,2025-01-27,SKU0008,F2-L1,132
4,9,1,589,2025-01-27,SKU0009,F1-L1,194
4,14,1,619,2025-01-27,SKU0014,F1-L1,38
4,15,1,625,2025-01-27,SKU0015,F1-L1,268
4,16,4,634,2025-01-27,SKU0016,F2-L1,96
4,18,1,643,2025-01-27,SKU0018,F1-L1,162
4,20,4,658,2025-01-27,SKU0020,F2-L1,223
4,22,1,667,2025-01-27,SKU0022,F1-L1,72
4,25,1,685,2025-01-27,SKU0025,F1-L1,93
4,27,4,700,2025-01-27,SKU0027,F2-L1,127
4,28,4,706,2025-01-27,SKU0028,F2-L1,79
4,30,1,715,2025-01-27,SKU0030,F1-L1,214
5,3,4,736,2025-02-03,SKU0003,F2-L1,20
5,4,1,739,2025-02-03,SKU0004,F1-L1,159
5,5,4,748,2025-02-03,SKU0005,F2-L1,264
5,6,4,754,2025-02-03,SKU0006,F2-L1,57
5,7,1,757,2025-02-03,SKU0007,F1-L1,44
5,8,4,766,2025-02-03,SKU0008,F2-L1,112
5,10,1,775,2025-02-03,SKU0010,F1-L1,69
5,11,1,781,2025-02-03,SKU0011,F1-L1,21
5,14,1,799,2025-02-03,SKU0014,F1-L1,34
5,16,4,814,2025-02-03,SKU0016,F2-L1,272
5,18,1,823,2025-02-03,SKU0018,F1-L1,66
5,20,4,838,2025-02-03,SKU0020,F2-L1,206
5,23,1,853,2025-02-03,SKU0023,F1-L1,134
