material_id,material_type,material_desc,uom
MAT0001,fabric_roll,Material_1,kg
MAT0002,trim,Material_2,pcs
MAT0003,trim,Material_3,pcs
MAT0004,label,Material_4,pcs
MAT0005,trim,Material_5,pcs
MAT0006,fabric_roll,Material_6,kg
MAT0007,fabric_roll,Material_7,kg
MAT0008,fabric_roll,Material_8,kg
MAT0009,thread,Material_9,cone
MAT0010,label,Material_10,pcs
MAT0011,trim,Material_11,pcs
MAT0012,fabric_roll,Material_12,kg
MAT0013,fabric_roll,Material_13,kg
MAT0014,thread,Material_14,cone
MAT0015,label,Material_15,pcs
MAT0016,fabric_roll,Material_16,kg
MAT0017,fabric_roll,Material_17,kg
MAT0018,trim,Material_18,pcs
MAT0019,fabric_roll,Material_19,kg
MAT0020,label,Material_20,pcs
