po_id,supplier_id,material_id,order_date,ordered_qty,unit_cost,expected_delivery_date,received_date,scenario
PO00001,SUP003,MAT0003,2025-04-01,1051,6.9,2025-04-16,2025-04-16,after
PO00002,SUP008,MAT0010,2025-02-20,438,10.17,2025-02-23,2025-02-23,after
PO00003,SUP002,MAT0020,2025-01-15,1324,12.59,2025-01-21,2025-01-21,after
PO00004,SUP005,MAT0016,2025-01-25,1988,15.84,2025-02-04,2025-02-04,after
PO00005,SUP011,MAT0008,2025-04-04,1585,7.69,2025-04-17,2025-04-17,after
PO00006,SUP010,MAT0011,2025-05-16,626,12.01,2025-05-25,2025-05-25,after
PO00007,SUP005,MAT0018,2025-06-07,1313,19.65,2025-06-15,2025-06-15,after
PO00008,SUP011,MAT0012,2025-01-09,524,13.33,2025-01-17,2025-01-17,after
PO00009,SUP005,MAT0004,2025-04-26,2198,13.33,2025-05-06,2025-05-06,after
PO00010,SUP011,MAT0008,2025-04-05,1702,7.69,2025-04-18,2025-04-18,after
PO00011,SUP011,MAT0018,2025-03-17,1010,8.49,2025-03-22,2025-03-22,after
PO00012,SUP010,MAT0011,2025-06-06,997,12.01,2025-06-15,2025-06-15,after
PO00013,SUP009,MAT0007,2025-03-31,1143,9.47,2025-04-06,2025-04-06,after
PO00014,SUP003,MAT0014,2025-02-10,1625,8.1,2025-02-23,2025-02-23,after
PO00015,SUP004,MAT0004,2025-06-12,1328,15.03,2025-06-20,2025-06-20,after
PO00016,SUP012,MAT0002,2025-05-26,1764,9.18,2025-05-29,2025-05-29,after
PO00017,SUP011,MAT0008,2025-06-21,864,7.69,2025-07-04,2025-07-04,after
PO00018,SUP008,MAT0004,2025-05-07,934,7.81,2025-05-16,2025-05-16,after
PO00019,SUP006,MAT0010,2025-01-13,1765,11.63,2025-01-19,2025-01-19,after
PO00020,SUP011,MAT0016,2025-03-25,1509,7.93,2025-03-30,2025-03-30,after
PO00021,SUP002,MAT0018,2025-01-18,1490,11.26,2025-01-24,2025-01-24,after
PO00022,SUP010,MAT0002,2025-02-24,456,10.94,2025-03-03,2025-03-03,after
PO00023,SUP008,MAT0011,2025-05-06,550,9.37,2025-05-12,2025-05-12,after
PO00024,SUP001,MAT0005,2025-04-06,1215,16.93,2025-04-13,2025-04-13,after
PO00025,SUP008,MAT0011,2025-01-13,4873,9.37,2025-01-19,2025-01-19,after
PO00026,SUP008,MAT0007,2025-02-14,2061,10.96,2025-02-23,2025-02-23,after
PO00027,SUP009,MAT0015,2025-03-16,1705,11.78,2025-03-21,2025-03-21,after
PO00028,SUP008,MAT0012,2025-06-06,268,5.94,2025-06-11,2025-06-11,after
PO00029,SUP012,MAT0001,2025-05-04,1013,6.76,2025-05-13,2025-05-13,after
