sku_id,material_id,qty_per_unit,uom
SKU0001,MAT0002,0.335,pcs
SKU0001,MAT0015,0.451,pcs
SKU0002,MAT0008,0.718,kg
SKU0002,MAT0020,0.449,pcs
SKU0003,MAT0010,4.722,pcs
SKU0003,MAT0008,1.435,kg
SKU0004,MAT0014,1.173,cone
SKU0004,MAT0006,1.05,kg
SKU0004,MAT0015,1.776,pcs
SKU0004,MAT0008,1.359,kg
SKU0005,MAT0004,2.937,pcs
SKU0005,MAT0015,0.617,pcs
SKU0005,MAT0009,0.649,cone
SKU0006,MAT0014,2.646,cone
SKU0006,MAT0003,1.196,pcs
SKU0006,MAT0018,1.29,pcs
SKU0006,MAT0013,2.826,kg
SKU0007,MAT0003,1.45,pcs
SKU0007,MAT0007,0.432,kg
SKU0007,MAT0017,1.62,kg
SKU0008,MAT0012,0.402,kg
SKU0008,MAT0004,0.673,pcs
SKU0008,MAT0009,1.282,cone
SKU0008,MAT0019,0.992,kg
SKU0009,MAT0008,1.249,kg
SKU0009,MAT0014,0.603,cone
SKU0010,MAT0010,1.32,pcs
SKU0010,MAT0013,3.747,kg
SKU0010,MAT0017,1.049,kg
SKU0010,MAT0007,0.919,kg
SKU0011,MAT0012,0.648,kg
SKU0011,MAT0006,1.059,kg
SKU0011,MAT0003,1.351,pcs
SKU0012,MAT0019,1.722,kg
SKU0012,MAT0008,1.004,kg
SKU0012,MAT0012,0.747,kg
SKU0013,MAT0009,1.061,cone
SKU0013,MAT0020,1.293,pcs
SKU0013,MAT0013,0.644,kg
SKU0014,MAT0010,2.337,pcs
SKU0014,MAT0013,0.95,kg
SKU0014,MAT0015,1.374,pcs
SKU0015,MAT0010,0.581,pcs
SKU0015,MAT0014,1.697,cone
SKU0015,MAT0006,3.663,kg
SKU0016,MAT0013,0.531,kg
SKU0016,MAT0014,1.283,cone
SKU0016,MAT0008,3.296,kg
SKU0016,MAT0012,0.41,kg
SKU0017,MAT0006,1.278,kg
SKU0017,MAT0010,0.381,pcs
SKU0017,MAT0001,1.506,kg
SKU0017,MAT0016,0.782,kg
SKU0018,MAT0002,1.747,pcs
SKU0018,MAT0012,1.446,kg
SKU0018,MAT0020,0.402,pcs
SKU0018,MAT0005,1.526,pcs
SKU0019,MAT0007,0.681,kg
SKU0019,MAT0002,0.512,pcs
SKU0019,MAT0018,1.696,pcs
SKU0019,MAT0014,1.278,cone
SKU0020,MAT0005,1.299,pcs
SKU0020,MAT0013,0.762,kg
SKU0020,MAT0002,1.466,pcs
SKU0020,MAT0016,0.802,kg
SKU0021,MAT0014,0.592,cone
SKU0021,MAT0018,0.26,pcs
SKU0022,MAT0015,0.917,pcs
SKU0022,MAT0007,0.931,kg
SKU0022,MAT0009,0.986,cone
SKU0022,MAT0018,0.567,pcs
SKU0023,MAT0014,1.681,cone
SKU0023,MAT0013,3.787,kg
SKU0023,MAT0002,1.225,pcs
SKU0024,MAT0011,0.516,pcs
SKU0024,MAT0003,0.391,pcs
SKU0024,MAT0008,1.22,kg
SKU0024,MAT0014,0.874,cone
SKU0025,MAT0007,1.572,kg
SKU0025,MAT0003,1.339,pcs
SKU0025,MAT0009,0.656,cone
SKU0025,MAT0004,1.229,pcs
SKU0026,MAT0007,0.4,kg
SKU0026,MAT0017,1.094,kg
SKU0027,MAT0011,0.397,pcs
SKU0027,MAT0020,0.419,pcs
SKU0027,MAT0010,1.476,pcs
SKU0028,MAT0015,0.72,pcs
SKU0028,MAT0019,0.502,kg
SKU0028,MAT0010,1.825,pcs
SKU0028,MAT0006,1.363,kg
SKU0029,MAT0017,1.395,kg
SKU0029,MAT0001,1.0,kg
SKU0029,MAT0007,1.804,kg
SKU0030,MAT0016,0.851,kg
SKU0030,MAT0010,0.829,pcs
SKU0030,MAT0019,1.776,kg
