work_order_id,sales_order_id,sku_id,factory_id,planned_qty,planned_start_date,scenario
WO000001,SO00662,SKU0014,F1,43,2025-01-04,after
WO000002,SO00218,SKU0022,F1,61,2025-01-05,after
WO000003,SO00215,SKU0019,F2,105,2025-01-04,after
WO000004,SO00276,SKU0004,F1,53,2025-01-04,after
WO000005,SO00533,SKU0028,F2,83,2025-01-06,after
WO000006,SO00399,SKU0026,F2,95,2025-01-07,after
WO000007,SO00417,SKU0004,F1,45,2025-01-05,after
WO000008,SO00110,SKU0018,F1,73,2025-01-09,after
WO000009,SO00665,SKU0030,F1,147,2025-01-06,after
WO000010,SO00311,SKU0027,F2,99,2025-01-04,after
WO000011,SO00098,SKU0026,F2,23,2025-01-05,after
WO000012,SO00323,SKU0009,F1,113,2025-01-10,after
WO000013,SO00337,SKU0007,F1,47,2025-01-07,after
WO000014,SO00459,SKU0015,F1,81,2025-01-04,after
WO000015,SO00597,SKU0001,F1,58,2025-01-08,after
WO000016,SO00316,SKU0002,F1,48,2025-01-05,after
WO000017,SO00471,SKU0024,F1,80,2025-01-09,after
WO000018,SO00427,SKU0002,F1,56,2025-01-05,after
WO000019,SO00142,SKU0009,F1,76,2025-01-09,after
WO000020,SO00360,SKU0003,F2,117,2025-01-07,after
WO000021,SO00022,SKU0009,F1,98,2025-01-10,after
WO000022,SO00063,SKU0001,F1,100,2025-01-09,after
WO000023,SO00357,SKU0005,F2,37,2025-01-08,after
WO000024,SO00445,SKU0007,F1,38,2025-01-11,after
WO000025,SO00693,SKU0023,F1,123,2025-01-10,after
WO000026,SO00568,SKU0009,F1,74,2025-01-10,after
WO000027,SO00559,SKU0006,F2,91,2025-01-08,after
WO000028,SO00537,SKU0012,F2,43,2025-01-09,after
WO000029,SO00467,SKU0013,F1,100,2025-01-13,after
WO000030,SO00506,SKU0021,F2,48,2025-01-09,after
WO000031,SO00117,SKU0010,F1,32,2025-01-11,after
WO000032,SO00646,SKU0020,F2,154,2025-01-11,after
WO000033,SO00232,SKU0027,F2,20,2025-01-15,after
WO000034,SO00640,SKU0016,F2,66,2025-01-16,after
WO000035,SO00565,SKU0010,F1,52,2025-01-10,after
WO000036,SO00210,SKU0007,F1,114,2025-01-15,after
WO000037,SO00668,SKU0003,F2,52,2025-01-12,after
WO000038,SO00086,SKU0028,F2,77,2025-01-15,after
WO000039,SO00571,SKU0015,F1,92,2025-01-13,after
WO000040,SO00119,SKU0011,F1,269,2025-01-11,after
WO000041,SO00596,SKU0011,F1,232,2025-01-17,after
WO000042,SO00641,SKU0017,F2,53,2025-01-14,after
WO000043,SO00448,SKU0015,F1,36,2025-01-12,after
WO000044,SO00194,SKU0015,F1,52,2025-01-18,after
WO000045,SO00111,SKU0019,F2,86,2025-01-15,after
WO000046,SO00192,SKU0006,F2,79,2025-01-19,after
WO000047,SO00223,SKU0027,F2,49,2025-01-17,after
WO000048,SO00586,SKU0023,F1,96,2025-01-17,after
WO000049,SO00413,SKU0005,F2,139,2025-01-15,after
WO000050,SO00014,SKU0008,F2,53,2025-01-13,after
WO000051,SO00198,SKU0014,F1,103,2025-01-18,after
WO000052,SO00164,SKU0005,F2,97,2025-01-14,after
WO000053,SO00479,SKU0019,F2,43,2025-01-20,after
WO000054,SO00368,SKU0019,F2,29,2025-01-16,after
WO000055,SO00643,SKU0005,F2,56,2025-01-19,after
WO000056,SO00545,SKU0002,F1,109,2025-01-17,after
WO000057,SO00246,SKU0011,F1,176,2025-01-15,after
WO000058,SO00233,SKU0010,F1,200,2025-01-16,after
WO000059,SO00333,SKU0024,F1,287,2025-01-15,after
WO000060,SO00211,SKU0001,F1,65,2025-01-19,after
WO000061,SO00306,SKU0019,F2,64,2025-01-19,after
WO000062,SO00336,SKU0017,F2,129,2025-01-20,after
WO000063,SO00196,SKU0021,F2,44,2025-01-23,after
WO000064,SO00606,SKU0009,F1,171,2025-01-16,after
WO000065,SO00268,SKU0016,F2,35,2025-01-20,after
WO000066,SO00436,SKU0023,F1,96,2025-01-20,after
WO000067,SO00076,SKU0010,F1,129,2025-01-17,after
WO000068,SO00278,SKU0019,F2,138,2025-01-20,after
WO000069,SO00116,SKU0008,F2,74,2025-01-20,after
WO000070,SO00186,SKU0027,F2,94,2025-01-20,after
WO000071,SO00700,SKU0008,F2,78,2025-01-19,after
WO000072,SO00058,SKU0029,F1,82,2025-01-26,after
WO000073,SO00567,SKU0025,F1,28,2025-01-26,after
WO000074,SO00139,SKU0012,F2,53,2025-01-23,after
WO000075,SO00691,SKU0006,F2,50,2025-01-25,after
WO000076,SO00081,SKU0018,F1,85,2025-01-22,after
WO000077,SO00138,SKU0013,F1,265,2025-01-21,after
WO000078,SO00425,SKU0014,F1,68,2025-01-24,after
WO000079,SO00558,SKU0016,F2,86,2025-01-29,after
WO000080,SO00011,SKU0007,F1,80,2025-01-24,after
WO000081,SO00261,SKU0015,F1,127,2025-01-26,after
WO000082,SO00560,SKU0003,F2,124,2025-01-23,after
WO000083,SO00387,SKU0022,F1,39,2025-01-27,after
WO000084,SO00404,SKU0019,F2,37,2025-01-27,after
WO000085,SO00575,SKU0001,F1,48,2025-01-27,after
WO000086,SO00663,SKU0002,F1,145,2025-01-28,after
WO000087,SO00400,SKU0026,F2,24,2025-01-29,after
WO000088,SO00041,SKU0020,F2,77,2025-01-25,after
WO000089,SO00469,SKU0009,F1,59,2025-01-26,after
WO000090,SO00496,SKU0019,F2,106,2025-01-28,after
WO000091,SO00250,SKU0025,F1,178,2025-01-27,after
WO000092,SO00566,SKU0012,F2,65,2025-01-30,after
WO000093,SO00690,SKU0021,F2,56,2025-01-26,after
WO000094,SO00071,SKU0020,F2,128,2025-01-25,after
WO000095,SO00369,SKU0016,F2,103,2025-01-27,after
WO000096,SO00620,SKU0002,F1,96,2025-01-26,after
WO000097,SO00492,SKU0019,F2,130,2025-02-01,after
WO000098,SO00151,SKU0006,F2,73,2025-01-30,after
WO000099,SO00361,SKU0010,F1,108,2025-01-26,after
WO000100,SO00103,SKU0025,F1,158,2025-02-01,after
WO000101,SO00006,SKU0021,F2,47,2025-01-29,after
WO000102,SO00412,SKU0030,F1,127,2025-01-30,after
WO000103,SO00412,SKU0030,F1,130,2025-01-30,after
WO000104,SO00390,SKU0017,F2,86,2025-02-01,after
WO000105,SO00669,SKU0013,F1,155,2025-01-28,after
WO000106,SO00669,SKU0013,F1,157,2025-01-28,after
WO000107,SO00380,SKU0029,F1,137,2025-02-01,after
WO000108,SO00045,SKU0014,F1,62,2025-01-28,after
WO000109,SO00485,SKU0004,F1,68,2025-02-06,after
WO000110,SO00305,SKU0003,F2,76,2025-02-05,after
WO000111,SO00443,SKU0026,F2,45,2025-02-08,after
WO000112,SO00454,SKU0023,F1,65,2025-02-04,after
WO000113,SO00005,SKU0005,F2,82,2025-02-03,after
WO000114,SO00329,SKU0025,F1,172,2025-01-30,after
WO000115,SO00015,SKU0017,F2,104,2025-01-31,after
WO000116,SO00122,SKU0010,F1,50,2025-02-03,after
WO000117,SO00118,SKU0013,F1,60,2025-01-31,after
WO000118,SO00695,SKU0006,F2,263,2025-02-05,after
WO000119,SO00432,SKU0002,F1,63,2025-02-04,after
WO000120,SO00569,SKU0022,F1,31,2025-02-05,after
WO000121,SO00637,SKU0001,F1,108,2025-02-01,after
WO000122,SO00561,SKU0010,F1,164,2025-02-05,after
WO000123,SO00648,SKU0028,F2,64,2025-02-06,after
WO000124,SO00222,SKU0028,F2,55,2025-02-05,after
WO000125,SO00060,SKU0028,F2,118,2025-02-05,after
WO000126,SO00529,SKU0001,F1,55,2025-02-04,after
WO000127,SO00378,SKU0029,F1,332,2025-02-05,after
WO000128,SO00291,SKU0011,F1,317,2025-02-02,after
WO000129,SO00017,SKU0024,F1,77,2025-02-09,after
WO000130,SO00283,SKU0026,F2,110,2025-02-04,after
WO000131,SO00055,SKU0029,F1,86,2025-02-10,after
WO000132,SO00428,SKU0010,F1,191,2025-02-06,after
WO000133,SO00179,SKU0024,F1,116,2025-02-05,after
WO000134,SO00282,SKU0018,F1,294,2025-02-05,after
WO000135,SO00143,SKU0007,F1,106,2025-02-07,after
WO000136,SO00275,SKU0001,F1,81,2025-02-08,after
WO000137,SO00409,SKU0022,F1,164,2025-02-09,after
WO000138,SO00450,SKU0002,F1,175,2025-02-08,after
WO000139,SO00104,SKU0025,F1,150,2025-02-11,after
WO000140,SO00003,SKU0013,F1,220,2025-02-10,after
WO000141,SO00225,SKU0012,F2,146,2025-02-07,after
WO000142,SO00383,SKU0026,F2,229,2025-02-08,after
WO000143,SO00473,SKU0022,F1,133,2025-02-09,after
WO000144,SO00314,SKU0019,F2,149,2025-02-12,after
WO000145,SO00350,SKU0010,F1,231,2025-02-08,after
WO000146,SO00121,SKU0024,F1,113,2025-02-11,after
WO000147,SO00090,SKU0024,F1,44,2025-02-08,after
WO000148,SO00004,SKU0004,F1,329,2025-02-13,after
WO000149,SO00681,SKU0030,F1,49,2025-02-13,after
WO000150,SO00228,SKU0018,F1,51,2025-02-14,after
WO000151,SO00525,SKU0005,F2,218,2025-02-11,after
WO000152,SO00285,SKU0030,F1,69,2025-02-10,after
WO000153,SO00631,SKU0029,F1,134,2025-02-09,after
WO000154,SO00065,SKU0015,F1,131,2025-02-11,after
WO000155,SO00113,SKU0025,F1,162,2025-02-14,after
WO000156,SO00108,SKU0017,F2,157,2025-02-15,after
WO000157,SO00497,SKU0015,F1,262,2025-02-16,after
WO000158,SO00625,SKU0003,F2,67,2025-02-14,after
WO000159,SO00057,SKU0022,F1,54,2025-02-15,after
WO000160,SO00397,SKU0001,F1,72,2025-02-14,after
WO000161,SO00447,SKU0012,F2,250,2025-02-14,after
WO000162,SO00456,SKU0015,F1,183,2025-02-16,after
WO000163,SO00141,SKU0012,F2,141,2025-02-17,after
WO000164,SO00304,SKU0021,F2,55,2025-02-16,after
WO000165,SO00514,SKU0018,F1,48,2025-02-13,after
WO000166,SO00176,SKU0006,F2,91,2025-02-14,after
WO000167,SO00126,SKU0025,F1,174,2025-02-17,after
WO000168,SO00160,SKU0006,F2,134,2025-02-13,after
WO000169,SO00376,SKU0010,F1,103,2025-02-16,after
WO000170,SO00697,SKU0016,F2,80,2025-02-16,after
WO000171,SO00520,SKU0011,F1,32,2025-02-15,after
WO000172,SO00617,SKU0018,F1,94,2025-02-17,after
WO000173,SO00136,SKU0013,F1,147,2025-02-14,after
WO000174,SO00267,SKU0030,F1,76,2025-02-14,after
WO000175,SO00434,SKU0001,F1,25,2025-02-18,after
WO000176,SO00018,SKU0021,F2,95,2025-02-18,after
WO000177,SO00671,SKU0023,F1,96,2025-02-16,after
WO000178,SO00358,SKU0009,F1,108,2025-02-20,after
WO000179,SO00609,SKU0018,F1,138,2025-02-20,after
WO000180,SO00499,SKU0014,F1,82,2025-02-17,after
WO000181,SO00666,SKU0006,F2,79,2025-02-17,after
WO000182,SO00340,SKU0029,F1,86,2025-02-20,after
WO000183,SO00205,SKU0019,F2,64,2025-02-19,after
WO000184,SO00612,SKU0030,F1,149,2025-02-20,after
WO000185,SO00023,SKU0018,F1,178,2025-02-22,after
WO000186,SO00532,SKU0027,F2,117,2025-02-21,after
WO000187,SO00391,SKU0006,F2,62,2025-02-19,after
WO000188,SO00049,SKU0023,F1,45,2025-02-17,after
WO000189,SO00095,SKU0017,F2,44,2025-02-20,after
WO000190,SO00546,SKU0023,F1,105,2025-02-19,after
