sku_id,operation_step,produced,rejected,rework
SKU0001,CUT,110,4,0
SKU0001,SEW,110,12,0
SKU0002,CUT,215,7,0
SKU0002,FINISH,215,3,0
SKU0002,PACK,215,1,0
SKU0002,QC_FINAL,215,26,14
SKU0002,QC_INLINE,215,24,13
SKU0002,SEW,215,23,0
SKU0003,CUT,118,2,0
SKU0003,FINISH,118,3,0
SKU0003,PACK,118,0,0
SKU0003,QC_FINAL,118,18,10
SKU0003,QC_INLINE,118,12,7
SKU0003,SEW,118,10,0
SKU0004,CUT,434,11,0
SKU0004,FINISH,657,16,0
SKU0004,PACK,657,10,0
SKU0004,QC_FINAL,657,85,46
SKU0004,QC_INLINE,657,79,43
SKU0004,REWORK,16,0,0
SKU0004,SEW,434,46,0
SKU0005,CUT,221,6,0
SKU0005,FINISH,166,2,0
SKU0005,PACK,166,2,0
SKU0005,QC_FINAL,166,21,12
SKU0005,QC_INLINE,166,25,14
SKU0005,SEW,221,19,0
SKU0006,CUT,210,9,0
SKU0006,FINISH,210,1,0
SKU0006,PACK,210,1,0
SKU0006,QC_FINAL,210,9,6
SKU0006,QC_INLINE,210,10,5
SKU0006,REWORK,10,0,0
SKU0006,SEW,210,4,0
SKU0007,CUT,111,2,0
SKU0007,SEW,111,6,0
SKU0009,CUT,471,9,0
SKU0009,FINISH,471,12,0
SKU0009,PACK,471,6,0
SKU0009,QC_FINAL,471,20,12
SKU0009,QC_INLINE,471,19,11
SKU0009,REWORK,5,0,0
SKU0009,SEW,471,18,0
SKU0010,FINISH,150,5,0
SKU0010,PACK,150,1,0
SKU0010,QC_FINAL,150,8,4
SKU0010,QC_INLINE,150,6,3
SKU0010,REWORK,4,0,0
SKU0011,CUT,659,12,0
SKU0011,FINISH,454,7,0
SKU0011,PACK,118,3,0
SKU0011,QC_FINAL,118,7,4
SKU0011,QC_INLINE,454,11,6
SKU0011,SEW,336,12,0
SKU0012,FINISH,178,6,0
SKU0012,PACK,178,0,0
SKU0012,QC_FINAL,178,12,7
SKU0012,QC_INLINE,178,7,4
SKU0012,REWORK,7,0,0
SKU0012,SEW,178,10,0
SKU0013,CUT,433,13,0
SKU0013,FINISH,995,24,0
SKU0013,PACK,995,13,0
SKU0013,QC_FINAL,995,43,24
SKU0013,QC_INLINE,902,30,16
SKU0013,REWORK,9,0,0
SKU0013,SEW,433,18,0
SKU0014,CUT,215,2,0
SKU0014,FINISH,215,7,0
SKU0014,PACK,215,6,0
SKU0014,QC_FINAL,215,10,6
SKU0014,QC_INLINE,215,3,2
SKU0014,SEW,215,8,0
SKU0015,CUT,97,4,0
SKU0015,FINISH,97,0,0
SKU0015,PACK,97,1,0
SKU0015,QC_FINAL,97,4,2
SKU0015,QC_INLINE,97,3,2
SKU0015,REWORK,2,0,0
SKU0015,SEW,97,3,0
SKU0016,CUT,141,3,0
SKU0016,SEW,141,3,0
SKU0017,CUT,139,4,0
SKU0017,FINISH,139,2,0
SKU0017,PACK,139,0,0
SKU0017,QC_FINAL,139,4,2
SKU0017,QC_INLINE,139,2,1
SKU0017,SEW,139,3,0
SKU0018,CUT,278,6,0
SKU0018,FINISH,278,3,0
SKU0018,PACK,278,7,0
SKU0018,QC_FINAL,278,7,4
SKU0018,QC_INLINE,278,10,6
SKU0018,REWORK,10,0,0
SKU0018,SEW,278,11,0
SKU0019,CUT,124,1,0
SKU0019,FINISH,124,3,0
SKU0019,PACK,124,3,0
SKU0019,QC_FINAL,124,4,2
SKU0019,QC_INLINE,124,2,1
SKU0019,REWORK,1,0,0
SKU0019,SEW,124,5,0
SKU0020,CUT,659,11,0
SKU0020,FINISH,546,13,0
SKU0020,PACK,546,9,0
SKU0020,QC_FINAL,546,16,8
SKU0020,QC_INLINE,546,19,11
SKU0020,REWORK,11,0,0
SKU0020,SEW,914,20,0
SKU0021,FINISH,162,3,0
SKU0021,PACK,162,1,0
SKU0021,QC_FINAL,162,8,4
SKU0021,QC_INLINE,162,6,3
SKU0021,REWORK,7,0,0
SKU0022,CUT,79,2,0
SKU0022,FINISH,79,1,0
SKU0022,PACK,79,0,0
SKU0022,QC_FINAL,79,4,2
SKU0022,QC_INLINE,79,2,1
SKU0022,REWORK,3,0,0
SKU0022,SEW,79,2,0
SKU0023,CUT,239,4,0
SKU0023,FINISH,239,7,0
SKU0023,PACK,239,3,0
SKU0023,QC_FINAL,239,6,3
SKU0023,QC_INLINE,239,8,4
SKU0023,SEW,239,2,0
SKU0024,PACK,169,3,0
SKU0025,CUT,112,1,0
SKU0025,FINISH,158,2,0
SKU0025,PACK,158,1,0
SKU0025,QC_FINAL,158,2,1
SKU0025,QC_INLINE,158,6,3
SKU0025,REWORK,4,0,0
SKU0025,SEW,112,12,0
SKU0026,CUT,132,2,0
SKU0026,FINISH,211,4,0
SKU0026,PACK,79,1,0
SKU0026,QC_FINAL,79,2,1
SKU0026,QC_INLINE,211,11,6
SKU0026,REWORK,6,0,0
SKU0026,SEW,132,2,0
SKU0027,CUT,446,10,0
SKU0027,FINISH,446,11,0
SKU0027,PACK,446,4,0
SKU0027,QC_FINAL,446,11,6
SKU0027,QC_INLINE,446,19,10
SKU0027,REWORK,11,0,0
SKU0027,SEW,446,11,0
SKU0028,CUT,293,5,0
SKU0028,FINISH,293,8,0
SKU0028,PACK,293,5,0
SKU0028,QC_FINAL,293,8,5
SKU0028,QC_INLINE,293,14,8
SKU0028,REWORK,8,0,0
SKU0028,SEW,293,12,0
SKU0029,CUT,283,10,0
SKU0029,FINISH,283,5,0
SKU0029,PACK,329,2,0
SKU0029,QC_FINAL,283,6,3
SKU0029,QC_INLINE,283,5,3
SKU0029,REWORK,8,0,0
SKU0029,SEW,283,5,0
SKU0030,CUT,141,5,0
SKU0030,FINISH,229,2,0
SKU0030,PACK,229,3,0
SKU0030,QC_FINAL,229,6,3
SKU0030,QC_INLINE,229,11,7
SKU0030,REWORK,6,0,0
