event_id,work_order_id,sales_order_id,sku_id,factory_id,production_line_id,operation_step,area,step_start_time,step_end_time,produced_qty,rejected_qty,rework_qty,setup_type,setup_time_min,labor_hours,machine_hours,scenario,product_category,fabric_type,color,size_run,std_sam_minutes_sew,pack_units_per_carton,line_type,shift_pattern,daily_capacity_machine_hours,daily_capacity_labor_hours,customer_id,order_date,due_date,demand_qty,penalty_cost_late,priority,week
EV0000001,WO000001,SO00587,SKU0006,F2,F2-L3,CUT,Cutting,2025-01-05T09:06:33Z,2025-01-05T14:52:17Z,114,0,0,start_of_day,9.66,5.19,5.76,before,Jacket,French_Terry,White,core,25.25,36,sewing_cell,1x10h,8.5,12.5,CUST0013,2025-01-01,2025-01-09,105,19.2,Std,2024-12-30
EV0000002,WO000001,SO00587,SKU0006,F2,F2-L3,SEW,Sewing,2025-01-05T15:50:02Z,2025-01-08T02:27:30Z,114,6,0,minor,5.49,93.8,58.62,before,Jacket,French_Terry,White,core,25.25,36,sewing_cell,1x10h,8.5,12.5,CUST0013,2025-01-01,2025-01-09,105,19.2,Std,2025-01-06
EV0000003,WO000001,SO00587,SKU0006,F2,F2-L2,QC_INLINE,Quality,2025-01-08T03:40:01Z,2025-01-08T04:55:19Z,114,3,2,minor,1.76,1.13,0.5,before,Jacket,French_Terry,White,core,25.25,36,sewing_cell,2x8h,13.6,20,CUST0013,2025-01-01,2025-01-09,105,19.2,Std,2025-01-06
EV0000004,WO000001,SO00587,SKU0006,F2,F2-L3,FINISH,Finishing,2025-01-08T05:08:32Z,2025-01-08T13:24:57Z,114,0,0,minor,3.2,9.93,3.31,before,Jacket,French_Terry,White,core,25.25,36,sewing_cell,1x10h,8.5,12.5,CUST0013,2025-01-01,2025-01-09,105,19.2,Std,2025-01-06
EV0000005,WO000001,SO00587,SKU0006,F2,F2-L2,QC_FINAL,Quality,2025-01-08T14:24:57Z,2025-01-08T16:06:50Z,114,4,2,minor,1.58,1.53,0.68,before,Jacket,French_Terry,White,core,25.25,36,sewing_cell,2x8h,13.6,20,CUST0013,2025-01-01,2025-01-09,105,19.2,Std,2025-01-06
EV0000006,WO000001,SO00587,SKU0006,F2,F2-L2,PACK,Packing,2025-01-08T16:19:27Z,2025-01-08T19:26:50Z,114,2,0,minor,1.82,2.81,1.25,before,Jacket,French_Terry,White,core,25.25,36,sewing_cell,2x8h,13.6,20,CUST0013,2025-01-01,2025-01-09,105,19.2,Std,2025-01-06
EV0000007,WO000002,SO00290,SKU0013,F1,F1-L3,CUT,Cutting,2025-01-03T09:09:05Z,2025-01-03T12:29:26Z,74,1,0,start_of_day,14.69,3.01,3.34,before,Polo,Cotton_Jersey,White,core,17.4,24,sewing_cell,1x10h,8.5,12.5,CUST0004,2025-01-01,2025-01-15,71,7.85,Expedite,2024-12-30
EV0000008,WO000002,SO00290,SKU0013,F1,F1-L2,SEW,Sewing,2025-01-03T13:49:43Z,2025-01-04T14:50:20Z,74,3,0,minor,6.72,40.02,25.01,before,Polo,Cotton_Jersey,White,core,17.4,24,modular_line,3x8h,20.4,30,CUST0004,2025-01-01,2025-01-15,71,7.85,Expedite,2024-12-30
EV0000009,WO000002,SO00290,SKU0013,F1,F1-L1,QC_INLINE,Quality,2025-01-04T15:26:46Z,2025-01-04T16:06:41Z,74,3,2,minor,1.68,0.6,0.27,before,Polo,Cotton_Jersey,White,core,17.4,24,assembly_line,2x8h,13.6,20,CUST0004,2025-01-01,2025-01-15,71,7.85,Expedite,2024-12-30
EV0000010,WO000002,SO00290,SKU0013,F1,F1-L2,FINISH,Finishing,2025-01-04T16:31:53Z,2025-01-04T20:20:36Z,74,1,0,minor,2.27,4.57,1.52,before,Polo,Cotton_Jersey,White,core,17.4,24,modular_line,3x8h,20.4,30,CUST0004,2025-01-01,2025-01-15,71,7.85,Expedite,2024-12-30
