week,sku_id,location_id,on_hand_qty,backorder_qty,reserved_qty,shipped_qty,late_ship_qty,freight_cost,demand_qty,throughput_qty,product_category,fabric_type,color,size_run,std_sam_minutes_sew,pack_units_per_carton
2025-01-06,SKU0002,DC_DN,175,0,2,0,0,0,0,0,Tee,Nylon_Taffeta,Red,extended,11.75,24
2025-01-06,SKU0002,DC_HN,186,0,11,0,0,0,0,0,Tee,Nylon_Taffeta,Red,extended,11.75,24
2025-01-06,SKU0002,WH_SOUTH,333,0,17,0,0,0,0,0,Tee,Nylon_Taffeta,Red,extended,11.75,24
2025-01-06,SKU0004,DC_DN,135,0,1,0,0,0,0,0,Tee,Ripstop,White,extended,14.15,36
2025-01-06,SKU0004,DC_HCMC,336,0,12,0,0,0,0,0,Tee,Ripstop,White,extended,14.15,36
2025-01-06,SKU0004,DC_HN,263,0,13,0,0,0,0,0,Tee,Ripstop,White,extended,14.15,36
2025-01-06,SKU0006,DC_CT,470,0,16,0,0,0,105,261,Jacket,French_Terry,White,core,25.25,36
2025-01-06,SKU0007,DC_CT,105,0,1,0,0,0,0,225,Dress,Cotton_Jersey,Navy,extended,18.67,24
2025-01-06,SKU0013,DC_HCMC,200,0,7,0,0,0,0,190,Polo,Cotton_Jersey,White,core,17.4,24
2025-01-06,SKU0013,WH_NORTH,464,0,16,0,0,0,0,190,Polo,Cotton_Jersey,White,core,17.4,24
2025-01-06,SKU0014,DC_CT,472,0,22,0,0,0,80,141,Dress,Cotton_Jersey,Olive,core,22.79,24
2025-01-06,SKU0021,WH_NORTH,522,0,24,0,0,0,0,0,Legging,Fleece,Olive,extended,19.03,24
2025-01-06,SKU0021,WH_SOUTH,524,0,25,0,0,0,0,0,Legging,Fleece,Olive,extended,19.03,24
2025-01-06,SKU0024,DC_DN,206,0,9,0,0,0,0,0,Tee,Fleece,Black,core,6.06,36
2025-01-06,SKU0024,WH_SOUTH,491,0,23,0,0,0,0,0,Tee,Fleece,Black,core,6.06,36
2025-01-06,SKU0026,WH_SOUTH,353,0,13,0,0,0,0,0,Jacket,Poly_Spandex,Red,core,26.19,24
2025-01-06,SKU0029,DC_CT,279,0,10,0,0,0,0,0,Tee,French_Terry,Olive,core,6,24
2025-01-13,SKU0004,DC_HN,215,0,11,0,0,0,0,209,Tee,Ripstop,White,extended,14.15,36
2025-01-13,SKU0005,DC_DN,81,0,3,32,32,7.31,36,175,Legging,Nylon_Taffeta,Navy,core,25.08,12
2025-01-13,SKU0007,DC_HN,354,0,17,0,0,0,0,0,Dress,Cotton_Jersey,Navy,extended,18.67,24
2025-01-13,SKU0009,DC_DN,69,0,1,0,0,0,0,416,Polo,Fleece,Sand,extended,14.71,24
2025-01-13,SKU0009,WH_SOUTH,140,0,4,0,0,0,0,416,Polo,Fleece,Sand,extended,14.71,24
2025-01-13,SKU0013,DC_CT,248,0,10,0,0,0,247,0,Polo,Cotton_Jersey,White,core,17.4,24
2025-01-13,SKU0015,DC_HN,223,0,7,0,0,0,0,238,Polo,French_Terry,White,core,20.18,24
2025-01-13,SKU0020,DC_CT,75,0,2,0,0,0,90,98,Hoodie,Cotton_Jersey,Black,core,20.3,12
2025-01-13,SKU0020,WH_NORTH,62,0,4,0,0,0,90,98,Hoodie,Cotton_Jersey,Black,core,20.3,12
2025-01-13,SKU0022,WH_SOUTH,280,0,11,0,0,0,0,77,Dress,Ripstop,Grey,core,22.11,24
2025-01-13,SKU0024,DC_DN,171,0,9,0,0,0,0,112,Tee,Fleece,Black,core,6.06,36
2025-01-13,SKU0026,DC_HN,387,0,17,0,0,0,0,0,Jacket,Poly_Spandex,Red,core,26.19,24
2025-01-20,SKU0002,WH_NORTH,215,0,11,0,0,0,0,147,Tee,Nylon_Taffeta,Red,extended,11.75,24
2025-01-20,SKU0005,DC_DN,87,0,6,61,0,11.76,130,0,Legging,Nylon_Taffeta,Navy,core,25.08,12
2025-01-20,SKU0006,DC_HCMC,244,0,14,0,0,0,350,0,Jacket,French_Terry,White,core,25.25,36
2025-01-20,SKU0006,WH_NORTH,491,0,22,0,0,0,350,0,Jacket,French_Terry,White,core,25.25,36
2025-01-20,SKU0007,DC_HN,293,0,17,74,0,9.79,455,303,Dress,Cotton_Jersey,Navy,extended,18.67,24
