snapshot_date,location_id,sku_id,on_hand_qty,reserved_qty,backorder_qty,holding_cost_per_unit_per_day,stockout_cost_per_unit,scenario
2025-01-06,DC_CT,SKU0006,470,16,0,0.0191,0.152,before
2025-01-06,DC_CT,SKU0007,105,1,0,0.0205,0.125,before
2025-01-06,DC_CT,SKU0014,472,22,0,0.0173,0.144,before
2025-01-06,DC_CT,SKU0029,279,10,0,0.014,0.143,before
2025-01-06,DC_DN,SKU0002,175,2,0,0.0267,0.14,before
2025-01-06,DC_DN,SKU0004,135,1,0,0.0215,0.148,before
2025-01-06,DC_DN,SKU0024,206,9,0,0.013,0.155,before
2025-01-06,DC_HCMC,SKU0004,336,12,0,0.0218,0.176,before
2025-01-06,DC_HCMC,SKU0013,200,7,0,0.0249,0.106,before
2025-01-06,DC_HN,SKU0002,186,11,0,0.0157,0.156,before
2025-01-06,DC_HN,SKU0004,263,13,0,0.0198,0.146,before
2025-01-06,WH_NORTH,SKU0013,464,16,0,0.0202,0.132,before
2025-01-06,WH_NORTH,SKU0021,522,24,0,0.0162,0.139,before
2025-01-06,WH_SOUTH,SKU0002,333,17,0,0.0198,0.125,before
2025-01-06,WH_SOUTH,SKU0021,524,25,0,0.016,0.143,before
2025-01-06,WH_SOUTH,SKU0024,491,23,0,0.0129,0.162,before
2025-01-06,WH_SOUTH,SKU0026,353,13,0,0.0112,0.185,before
2025-01-13,DC_CT,SKU0013,248,10,0,0.0175,0.179,before
2025-01-13,DC_CT,SKU0020,75,2,0,0.0185,0.18,before
2025-01-13,DC_DN,SKU0005,81,3,0,0.0201,0.187,before
2025-01-13,DC_DN,SKU0009,69,1,0,0.0179,0.135,before
2025-01-13,DC_DN,SKU0024,171,9,0,0.0194,0.153,before
2025-01-13,DC_HN,SKU0004,215,11,0,0.0187,0.14,before
2025-01-13,DC_HN,SKU0007,354,17,0,0.0167,0.125,before
2025-01-13,DC_HN,SKU0015,223,7,0,0.0209,0.131,before
2025-01-13,DC_HN,SKU0026,387,17,0,0.0188,0.167,before
2025-01-13,WH_NORTH,SKU0020,62,4,0,0.018,0.14,before
2025-01-13,WH_SOUTH,SKU0009,140,4,0,0.0192,0.137,before
2025-01-13,WH_SOUTH,SKU0022,280,11,0,0.0219,0.173,before
2025-01-20,DC_CT,SKU0022,199,8,0,0.0138,0.15,before
2025-01-20,DC_CT,SKU0029,184,7,0,0.0152,0.166,before
2025-01-20,DC_DN,SKU0005,87,6,0,0.0197,0.117,before
2025-01-20,DC_DN,SKU0022,219,11,0,0.0217,0.159,before
2025-01-20,DC_HCMC,SKU0006,244,14,0,0.0205,0.175,before
2025-01-20,DC_HCMC,SKU0017,298,8,0,0.0163,0.132,before
2025-01-20,DC_HCMC,SKU0021,275,12,0,0.014,0.139,before
2025-01-20,DC_HCMC,SKU0022,110,9,0,0.0162,0.171,before
2025-01-20,DC_HN,SKU0007,293,17,0,0.0204,0.158,before
2025-01-20,DC_HN,SKU0017,235,6,0,0.0208,0.135,before
2025-01-20,WH_NORTH,SKU0002,215,11,0,0.0223,0.163,before
2025-01-20,WH_NORTH,SKU0006,491,22,0,0.0203,0.159,before
2025-01-20,WH_NORTH,SKU0013,665,35,0,0.0223,0.165,before
2025-01-20,WH_NORTH,SKU0018,870,28,0,0.0177,0.147,before
2025-01-20,WH_SOUTH,SKU0009,140,6,0,0.0172,0.152,before
2025-01-20,WH_SOUTH,SKU0018,200,7,0,0.0172,0.147,before
2025-01-27,DC_CT,SKU0017,233,8,0,0.0186,0.18,before
2025-01-27,DC_CT,SKU0026,132,4,0,0.0187,0.157,before
2025-01-27,DC_DN,SKU0026,286,19,0,0.0161,0.139,before
2025-01-27,DC_HCMC,SKU0014,253,9,0,0.0218,0.182,before
2025-01-27,DC_HCMC,SKU0021,228,9,0,0.0191,0.109,before
2025-01-27,DC_HCMC,SKU0025,255,5,0,0.0172,0.128,before
2025-01-27,DC_HN,SKU0005,232,7,0,0.0166,0.164,before
2025-01-27,DC_HN,SKU0006,510,10,0,0.0104,0.152,before
2025-01-27,WH_NORTH,SKU0029,255,7,0,0.0155,0.122,before
2025-01-27,WH_SOUTH,SKU0017,530,16,0,0.0228,0.147,before
2025-01-27,WH_SOUTH,SKU0024,491,14,0,0.0186,0.156,before
2025-02-03,DC_CT,SKU0002,56,3,0,0.0192,0.173,before
2025-02-03,DC_CT,SKU0006,195,6,0,0.0199,0.181,before
2025-02-03,DC_CT,SKU0026,107,1,0,0.0181,0.157,before
2025-02-03,DC_DN,SKU0029,60,2,0,0.0149,0.153,before
2025-02-03,DC_HCMC,SKU0009,219,9,0,0.0198,0.159,before
2025-02-03,DC_HCMC,SKU0013,103,6,0,0.015,0.135,before
2025-02-03,DC_HCMC,SKU0020,323,16,0,0.0147,0.141,before
2025-02-03,DC_HN,SKU0020,95,1,0,0.0189,0.168,before
