event_id,work_order_id,sales_order_id,sku_id,factory_id,production_line_id,operation_step,area,step_start_time,step_end_time,produced_qty,rejected_qty,rework_qty,setup_type,setup_time_min,labor_hours,machine_hours,scenario
EV0000001,WO000001,SO00587,SKU0006,F2,F2-L3,CUT,Cutting,2025-01-05 09:06:33.796790,2025-01-05 14:52:17.815562,114,0,0,start_of_day,9.66,5.19,5.76,before
EV0000002,WO000001,SO00587,SKU0006,F2,F2-L3,SEW,Sewing,2025-01-05 15:50:02.674654,2025-01-08 02:27:30.898531,114,6,0,minor,5.49,93.8,58.62,before
EV0000003,WO000001,SO00587,SKU0006,F2,F2-L2,QC_INLINE,Quality,2025-01-08 03:40:01.351508,2025-01-08 04:55:19.361481,114,3,2,minor,1.76,1.13,0.5,before
EV0000004,WO000001,SO00587,SKU0006,F2,F2-L3,FINISH,Finishing,2025-01-08 05:08:32.657175,2025-01-08 13:24:57.335348,114,0,0,minor,3.2,9.93,3.31,before
EV0000005,WO000001,SO00587,SKU0006,F2,F2-L2,QC_FINAL,Quality,2025-01-08 14:24:57.969280,2025-01-08 16:06:50.119978,114,4,2,minor,1.58,1.53,0.68,before
EV0000006,WO000001,SO00587,SKU0006,F2,F2-L2,PACK,Packing,2025-01-08 16:19:27.065988,2025-01-08 19:26:50.169579,114,2,0,minor,1.82,2.81,1.25,before
EV0000007,WO000002,SO00290,SKU0013,F1,F1-L3,CUT,Cutting,2025-01-03 09:09:05.581305,2025-01-03 12:29:26.900046,74,1,0,start_of_day,14.69,3.01,3.34,before
EV0000008,WO000002,SO00290,SKU0013,F1,F1-L2,SEW,Sewing,2025-01-03 13:49:43.793382,2025-01-04 14:50:20.862962,74,3,0,minor,6.72,40.02,25.01,before
EV0000009,WO000002,SO00290,SKU0013,F1,F1-L1,QC_INLINE,Quality,2025-01-04 15:26:46.255950,2025-01-04 16:06:41.361297,74,3,2,minor,1.68,0.6,0.27,before
EV0000010,WO000002,SO00290,SKU0013,F1,F1-L2,FINISH,Finishing,2025-01-04 16:31:53.524458,2025-01-04 20:20:36.841890,74,1,0,minor,2.27,4.57,1.52,before
EV0000011,WO000002,SO00290,SKU0013,F1,F1-L2,QC_FINAL,Quality,2025-01-04 20:42:24.167273,2025-01-04 21:37:58.351974,74,3,2,minor,1.68,0.83,0.37,before
EV0000012,WO000002,SO00290,SKU0013,F1,F1-L3,PACK,Packing,2025-01-04 21:49:17.314648,2025-01-04 23:45:40.349709,74,2,0,minor,3.77,1.75,0.78,before
EV0000013,WO000003,SO00668,SKU0028,F2,F2-L3,CUT,Cutting,2025-01-05 08:30:22.416222,2025-01-05 19:02:03.138037,169,8,0,start_of_day,11.11,9.48,10.53,before
EV0000014,WO000003,SO00668,SKU0028,F2,F2-L3,SEW,Sewing,2025-01-05 19:42:43.220343,2025-01-08 18:49:41.455084,169,3,0,minor,8.66,113.79,71.12,before
EV0000015,WO000003,SO00668,SKU0028,F2,F2-L2,QC_INLINE,Quality,2025-01-08 19:22:20.122476,2025-01-08 21:18:58.835494,169,11,6,minor,2.24,1.75,0.78,before
EV0000016,WO000003,SO00668,SKU0028,F2,F2-L2,FINISH,Finishing,2025-01-08 21:42:58.894937,2025-01-09 11:59:01.085737,169,5,0,minor,0.79,17.12,5.71,before
EV0000017,WO000003,SO00668,SKU0028,F2,F2-L3,QC_FINAL,Quality,2025-01-09 12:14:38.811587,2025-01-09 15:01:31.940610,169,7,4,minor,1.19,2.5,1.11,before
EV0000018,WO000003,SO00668,SKU0028,F2,F2-L3,REWORK,Rework,2025-01-09 15:35:08.658962,2025-01-09 15:41:05.522556,4,0,0,none,0.0,0.11,0.02,before
EV0000019,WO000003,SO00668,SKU0028,F2,F2-L1,PACK,Packing,2025-01-09 15:48:24.158882,2025-01-09 20:01:48.489232,169,1,0,minor,1.52,3.8,1.69,before
EV0000020,WO000004,SO00519,SKU0023,F1,F1-L2,CUT,Cutting,2025-01-04 08:12:23.452064,2025-01-04 18:35:29.995110,254,8,0,start_of_day,13.34,9.35,10.39,before
EV0000021,WO000004,SO00519,SKU0023,F1,F1-L1,SEW,Sewing,2025-01-04 18:59:20.061652,2025-01-07 00:52:22.595554,254,11,0,minor,12.34,86.21,53.88,before
EV0000022,WO000004,SO00519,SKU0023,F1,F1-L3,QC_INLINE,Quality,2025-01-07 01:36:55.870507,2025-01-07 03:55:02.496423,254,11,6,minor,2.47,2.07,0.92,before
EV0000023,WO000004,SO00519,SKU0023,F1,F1-L2,FINISH,Finishing,2025-01-07 04:14:37.989080,2025-01-07 15:56:49.618012,254,4,0,minor,2.86,14.04,4.68,before
EV0000024,WO000004,SO00519,SKU0023,F1,F1-L2,QC_FINAL,Quality,2025-01-07 16:09:55.414693,2025-01-07 19:04:09.943088,254,13,7,minor,1.91,2.61,1.16,before
EV0000025,WO000004,SO00519,SKU0023,F1,F1-L2,PACK,Packing,2025-01-07 19:27:40.194394,2025-01-08 01:06:15.331057,254,1,0,minor,0.96,5.08,2.26,before
EV0000026,WO000005,SO00289,SKU0013,F1,F1-L2,CUT,Cutting,2025-01-05 08:14:02.597033,2025-01-05 12:35:25.318600,85,4,0,start_of_day,16.9,3.92,4.36,before
EV0000027,WO000005,SO00289,SKU0013,F1,F1-L3,SEW,Sewing,2025-01-05 13:03:20.075147,2025-01-06 09:34:17.862297,85,4,0,minor,6.38,32.83,20.52,before
EV0000028,WO000005,SO00289,SKU0013,F1,F1-L1,QC_INLINE,Quality,2025-01-06 09:56:20.438624,2025-01-06 10:47:17.764747,85,3,2,minor,2.24,0.76,0.34,before
EV0000029,WO000005,SO00289,SKU0013,F1,F1-L1,FINISH,Finishing,2025-01-06 10:53:31.957806,2025-01-06 15:02:08.594963,85,2,0,minor,1.75,4.97,1.66,before
