supplier_id,material_id,unit_cost,lead_time_days,max_supply_qty
SUP012,MAT0001,6.76,9,1013
SUP001,MAT0001,11.8,9,5084
SUP010,MAT0002,10.94,7,3953
SUP009,MAT0002,9.62,8,4033
SUP001,MAT0002,10.52,8,5818
SUP012,MAT0002,9.18,3,5216
SUP011,MAT0003,18.26,9,2360
SUP001,MAT0003,8.89,11,2521
SUP003,MAT0003,6.9,15,1794
SUP006,MAT0003,12.23,12,2132
SUP005,MAT0004,13.33,10,3541
SUP008,MAT0004,7.81,9,3429
SUP006,MAT0004,6.6,11,3785
SUP004,MAT0004,15.03,8,4321
SUP009,MAT0005,9.74,4,5779
SUP001,MAT0005,16.93,7,5773
SUP007,MAT0005,7.81,10,5622
SUP008,MAT0006,14.94,7,3888
SUP003,MAT0006,4.47,17,4236
SUP012,MAT0006,11.53,9,3374
SUP001,MAT0006,4.84,13,1265
SUP002,MAT0007,8.17,11,4118
SUP012,MAT0007,14.5,11,4560
SUP008,MAT0007,10.96,9,5441
SUP009,MAT0007,9.47,6,2221
SUP002,MAT0008,9.55,5,5648
SUP011,MAT0008,7.69,13,5719
SUP006,MAT0009,13.39,11,5926
SUP007,MAT0009,22.53,10,5328
SUP008,MAT0009,17.49,3,4003
SUP004,MAT0009,10.36,7,1026
SUP006,MAT0010,11.63,6,3022
SUP010,MAT0010,10.99,10,3496
SUP008,MAT0010,10.17,3,1108
SUP001,MAT0011,10.47,7,3928
SUP010,MAT0011,12.01,9,997
SUP008,MAT0011,9.37,6,5198
SUP003,MAT0011,8.69,18,4772
SUP011,MAT0012,13.33,8,5009
SUP008,MAT0012,5.94,5,3832
SUP003,MAT0013,9.03,18,1161
SUP010,MAT0013,15.87,12,4746
SUP006,MAT0014,16.02,8,3515
SUP003,MAT0014,8.1,13,3965
SUP001,MAT0014,7.31,4,586
SUP002,MAT0015,11.44,4,5891
SUP009,MAT0015,11.78,5,1705
SUP011,MAT0016,7.93,5,1509
SUP003,MAT0016,9.33,17,5299
SUP005,MAT0016,15.84,10,3648
SUP008,MAT0016,5.95,7,3456
SUP007,MAT0017,19.74,10,3295
SUP005,MAT0017,10.22,15,5713
SUP012,MAT0017,7.42,12,2029
SUP003,MAT0017,9.88,16,5843
SUP011,MAT0018,8.49,5,3735
SUP005,MAT0018,19.65,8,1313
SUP002,MAT0018,11.26,6,1740
SUP008,MAT0019,8.86,10,2384
SUP012,MAT0019,10.0,5,3520
SUP007,MAT0019,10.78,16,4945
SUP006,MAT0020,11.6,6,3361
SUP002,MAT0020,12.59,6,5276
SUP009,MAT0020,9.02,10,5130
SUP012,MAT0020,8.95,10,4519
